# 1-1
0	EERSTE	O	-
1	HOOFDSTUK	O	-
2	.	O	-

# 2-1
0	De	O	-
1	kennis	O	-
2	der	O	-
3	gevolgtrekking	O	-
4	.	O	-

# 3-1
0	Sherlock	B-AGENT	2
1	Holmes	I-AGENT	2
2	nam	REALIS	-
3	zijn	B-PATIENT	2
4	flesch	I-PATIENT	2
5	van	O	-
6	den	O	-
7	schoorsteenmantel	O	-
8	en	O	-
9	zijn	B-PATIENT	2
10	werktuig	I-PATIENT	2
11	voor	I-PATIENT	2
12	onderhuidsche	I-PATIENT	2
13	inspuitingen	I-PATIENT	2
14	uit	O	-
15	zijn	O	-
16	marokijnen	O	-
17	foudraal	O	-
18	.	O	-

# 3-2
0	Met	O	-
1	zijne	O	-
2	lange	O	-
3	,	O	-
4	witte	O	-
5	,	O	-
6	zenuwachtige	O	-
7	vingers	O	-
8	bracht	REALIS	-
9	hij	B-AGENT	8,17
10	de	B-PATIENT	8
11	fijne	I-PATIENT	8
12	naald	I-PATIENT	8
13	in	O	-
14	orde	O	-
15	,	O	-
16	en	O	-
17	schoof	REALIS	-
18	de	B-PATIENT	17
19	linkermouw	I-PATIENT	17
20	van	I-PATIENT	17
21	zijn	I-PATIENT	17
22	overhemd	I-PATIENT	17
23	omhoog	O	-
24	.	O	-

# 3-3
0	Gedurende	O	-
1	eenigen	O	-
2	tijd	O	-
3	bleven	O	-
4	zijne	B-AGENT	6,13
5	oogen	I-AGENT	6,13
6	nadenkend	REALIS	-
7	op	O	-
8	den	B-PATIENT	22
9	gespierden	I-PATIENT	22
10	voorarm	I-PATIENT	22
11	en	I-PATIENT	22
12	pols	I-PATIENT	22
13	gericht	REALIS	-
14	,	O	-
15	die	O	-
16	met	O	-
17	ontelbare	O	-
18	teekenen	O	-
19	van	O	-
20	inprikkingen	O	-
21	als	O	-
22	bezaaid	REALIS	-
23	waren	O	-
24	.	O	-

# 3-4
0	Eindelijk	O	-
1	trok	REALIS	-
2	hij	B-AGENT	1,8,14
3	de	B-PATIENT	1
4	scherpe	I-PATIENT	1
5	punt	I-PATIENT	1
6	terug	O	-
7	,	O	-
8	drukte	REALIS	-
9	den	B-PATIENT	8
10	kleinen	I-PATIENT	8
11	piston	I-PATIENT	8
12	omlaag	O	-
13	en	O	-
14	zonk	REALIS	-
15	met	O	-
16	een	O	-
17	langen	O	-
18	zucht	O	-
19	van	O	-
20	voldoening	O	-
21	in	O	-
22	den	O	-
23	fluweelen	O	-
24	armstoel	O	-
25	terug	O	-
26	.	O	-

# 4-1
0	Driemaal	O	-
1	per	O	-
2	dag	O	-
3	was	O	-
4	ik	B-AGENT	10
5	reeds	O	-
6	gedurende	O	-
7	verscheidene	O	-
8	maanden	O	-
9	getuige	O	-
10	geweest	REALIS	-
11	van	O	-
12	deze	O	-
13	verrichting	O	-
14	,	O	-
15	maar	O	-
16	de	B-AGENT	27
17	gewoonte	I-AGENT	27
18	was	O	-
19	bij	O	-
20	mij	O	-
21	in	O	-
22	dit	O	-
23	opzicht	O	-
24	geen	O	-
25	tweede	O	-
26	natuur	O	-
27	geworden	IRREALIS	-
28	.	O	-

# 4-2
0	Integendeel	O	-
1	,	O	-
2	van	O	-
3	dag	O	-
4	tot	O	-
5	dag	O	-
6	stond	REALIS	-
7	mij	B-AGENT	6
8	het	B-PATIENT	6
9	gezicht	I-PATIENT	6
10	ervan	I-PATIENT	6
11	meer	O	-
12	tegen	O	-
13	,	O	-
14	en	O	-
15	elken	O	-
16	avond	O	-
17	verweet	REALIS	-
18	ik	B-AGENT	17
19	mij	O	-
20	mijn	B-PATIENT	17
21	gebrek	I-PATIENT	17
22	aan	I-PATIENT	17
23	moed	I-PATIENT	17
24	,	O	-
