# 1-1
0	JULES	O	-
1	VERNE	O	-

# 2-1
0	DE	O	-
1	REIS	O	-
2	OM	O	-
3	DE	O	-
4	WERELD	O	-
5	IN	O	-
6	80	O	-
7	DAGEN	O	-

# 3-1
0	NAAR	O	-
1	DE	O	-
2	30e	O	-
3	FRANSCHE	O	-
4	UITGAVE	O	-
5	DOOR	O	-

# 4-1
0	GERARD	O	-
1	KELLER	O	-
2	.	O	-

# 5-1
0	EERSTE	O	-
1	HOOFDSTUK	O	-
2	.	O	-

# 6-1
0	Waarin	O	-
1	Phileas	B-AGENT	7
2	Fogg	I-AGENT	7
3	en	O	-
4	Passepartout	B-AGENT	7
5	elkander	B-PATIENT	7
6	wederkeerig	O	-
7	aannemen	REALIS	-
8	,	O	-
9	den	O	-
10	een	O	-
11	als	O	-
12	meester	O	-
13	,	O	-
14	den	O	-
15	ander	O	-
16	als	O	-
17	knecht	O	-
18	.	O	-

# 7-1
0	In	O	-
1	het	O	-
2	jaar	O	-
3	1872	O	-
4	werd	REALIS	-
5	het	B-AGENT	4,22
6	huis	I-AGENT	4,22
7	no.	I-AGENT	4,22
8	7	I-AGENT	4,22
9	in	I-AGENT	4,22
10	Saville	I-AGENT	4,22
11	Row	I-AGENT	4,22
12	,	I-AGENT	4,22
13	Burlington	I-AGENT	4,22
14	Gardens	I-AGENT	4,22
15	,	O	-
16	waarin	O	-
17	Sheridan	B-AGENT	20
18	in	O	-
19	1814	O	-
20	overleed	REALIS	-
21	,	O	-
22	bewoond	REALIS	-
23	door	O	-
24	Phileas	B-AGENT	43,59
25	Fogg	I-AGENT	43,59
26	esq	I-AGENT	43,59
27	.	O	-
28	,	O	-
29	een	O	-
30	der	O	-
31	zonderlingste	O	-
32	en	O	-
33	meest	O	-
34	bekende	O	-
35	leden	O	-
36	van	O	-
37	de	O	-
38	Reform-club	O	-
39	te	O	-
40	Londen	O	-
41	,	O	-
42	al	O	-
43	deed	REALIS	-
44	hij	O	-
45	ook	O	-
46	al	O	-
47	wat	O	-
48	in	O	-
49	zijn	O	-
50	vermogen	O	-
51	was	O	-
52	om	O	-
53	de	B-PATIENT	59
54	aandacht	I-PATIENT	59
55	niet	O	-
56	op	O	-
57	zich	O	-
58	te	O	-
59	vestigen	IRREALIS	-
60	.	O	-

# 8-1
0	Een	B-AGENT	11
1	der	I-AGENT	11
2	welsprekendste	I-AGENT	11
3	redenaars	I-AGENT	11
4	,	O	-
5	waarop	O	-
6	Engeland	B-AGENT	8
7	zich	O	-
8	verheffen	REALIS	-
9	mag	O	-
10	,	O	-
11	had	REALIS	-
12	dus	O	-
13	tot	O	-
14	opvolger	O	-
15	Phileas	B-AGENT	35
16	Fogg	I-AGENT	35
17	,	O	-
18	een	O	-
19	raadselachtig	O	-
20	persoon	O	-
21	,	O	-
22	van	O	-
23	wien	O	-
24	men	B-AGENT	26
25	niets	O	-
26	wist	IRREALIS	-
27	,	O	-
28	dan	O	-
29	dat	O	-
30	hij	O	-
31	een	O	-
32	hoogst	O	-
33	wellevend	O	-
34	man	O	-
35	was	REALIS	-
36	en	O	-
37	een	O	-
38	der	O	-
39	schoonste	O	-
40	gentlemen	O	-
41	uit	O	-
42	de	O	-
43	aanzienlijkste	O	-
44	kringen	O	-
45	.	O	-

# 8-2
0	Men	B-AGENT	1
1	zeide	REALIS	-
2	dat	O	-
3	hij	B-AGENT	6
4	op	O	-
5	Byron	O	-
6	geleek	REALIS	-
7	-	O	-
8	wat	O	-
9	zijn	O	-
10	hoofd	O	-
11	aangaat	O	-
12	,	O	-
13	want	O	-
14	zijne	B-AGENT	16
15	voeten	I-AGENT	16
16	waren	REALIS	-
17	onberispelijk	O	-
18	-	O	-
19	maar	O	-
20	een	O	-
21	Byron	O	-
22	met	O	-
23	baard	O	-
24	en	O	-
25	knevel	O	-
26	,	O	-
27	een	B-AGENT	35
28	kalme	I-AGENT	35
29	Byron	I-AGENT	35
30	die	O	-
31	duizend	O	-
32	jaar	O	-
33	had	O	-
34	kunnen	O	-
35	leven	IRREALIS	-
36	zonder	O	-
37	oud	O	-
38	te	O	-
39	worden	O	-
40	.	O	-

# 8-3
0	Ofschoon	O	-
1	zonder	O	-
2	eenigen	O	-
3	twijfel	O	-
4	Engelschman	O	-
5	van	O	-
6	geboorte	O	-
7	,	O	-
8	was	IRREALIS	-
9	hij	B-AGENT	8
10	misschien	O	-
11	geen	O	-
12	Londener	O	-
13	.	O	-

# 8-4
0	Men	B-AGENT	11
1	had	O	-
2	hem	B-PATIENT	11
3	nooit	O	-
4	aan	O	-
5	de	O	-
6	beurs	O	-
7	of	O	-
8	aan	O	-
9	de	O	-
10	bank	O	-
11	gezien	IRREALIS	-
12	,	O	-
13	noch	O	-
14	in	O	-
15	eenig	O	-
16	kantoor	O	-
17	der	O	-
18	City	O	-
19	.	O	-

# 8-5
0	Noch	O	-
1	de	B-AGENT	13
2	bassins	I-AGENT	13
3	,	O	-
4	noch	O	-
5	de	B-AGENT	13
6	dokken	I-AGENT	13
7	te	I-AGENT	13
8	Londen	I-AGENT	13
9	hadden	O	-
10	ooit	O	-
11	eenig	B-PATIENT	13
12	schip	I-PATIENT	13
13	bevat	IRREALIS	-
14	,	O	-
15	dat	O	-
16	Phileas	B-AGENT	19
17	Fogg	I-AGENT	19
18	tot	O	-
19	reeder	REALIS	-
20	had	O	-
21	.	O	-

# 8-6
0	Hij	B-AGENT	1
1	was	IRREALIS	-
2	lid	O	-
3	van	O	-
4	geen	O	-
5	enkele	O	-
6	administratieve	O	-
7	commissie	O	-
8	.	O	-

# 8-7
0	Zijn	B-PATIENT	5
1	naam	I-PATIENT	5
2	was	O	-
3	nog	O	-
4	nooit	O	-
5	genoemd	IRREALIS	-
6	in	O	-
7	een	O	-
8	gezelschap	O	-
9	van	O	-
10	advocaten	O	-
11	,	O	-
12	noch	O	-
13	in	O	-
14	Temple-bar	O	-
15	,	O	-
16	noch	O	-
17	in	O	-
18	Lincolns-inn	O	-
19	.	O	-

# 8-8
0	Nooit	O	-
1	had	O	-
2	hij	B-AGENT	3
3	gepleit	IRREALIS	-
4	voor	O	-
5	de	O	-
6	Court	O	-
7	of	O	-
8	Chancery	O	-
9	,	O	-
10	of	O	-
11	voor	O	-
12	Queens-bench	O	-
13	,	O	-
14	of	O	-
15	voor	O	-
16	de	O	-
17	Rekenkamer	O	-
18	of	O	-
19	voor	O	-
20	het	O	-
21	kerkelijk	O	-
22	Hooggerechtshof	O	-
23	.	O	-

# 8-9
0	Hij	B-AGENT	1
1	was	IRREALIS	-
2	noch	O	-
3	fabrikant	O	-
4	,	O	-
5	noch	O	-
6	grossier	O	-
7	,	O	-
8	noch	O	-
9	winkelier	O	-
10	,	O	-
11	noch	O	-
12	landbouwer	O	-
13	.	O	-

# 8-10
0	Hij	-	-
1	was	-	-
2	geen	-	-
3	lid	-	-
4	van	-	-
5	het	-	-
6	Koninklijk	-	-
7	Britsch	-	-
8	Instituut	-	-
9	,	-	-
10	noch	-	-
11	van	-	-
12	het	-	-
13	Londensch	-	-
14	Instituut	-	-
15	,	-	-
16	noch	-	-
17	van	-	-
18	de	-	-
19	Maatschappij	-	-
20	van	-	-
21	Werklieden	-	-
22	,	-	-
23	noch	-	-
24	van	-	-
25	het	-	-
26	Russels	-	-
27	Instituut	-	-
28	,	-	-
29	noch	-	-
30	van	-	-
31	het	-	-
32	Westersch	-	-
33	Genootschap	-	-
34	van	-	-
35	Letterkunde	-	-
36	,	-	-
37	noch	-	-
38	van	-	-
39	de	-	-
40	Vereeniging	-	-
41	voor	-	-
42	Rechtsgeleerdheid	-	-
43	,	-	-
44	noch	-	-
45	van	-	-
46	het	-	-
47	Vereenigd	-	-
48	Genootschap	-	-
49	van	-	-
50	Kunsten	-	-
51	en	-	-
52	Wetenschappen	-	-
53	,	-	-
54	dat	-	-
55	onder	-	-
56	rechtstreeksche	-	-
57	bescherming	-	-
58	staat	-	-
59	der	-	-
60	Koningin	-	-
61	.	-	-

# 8-11
0	Hij	B-AGENT	1
1	behoorde	REALIS	-
2	ook	O	-
3	tot	O	-
4	geen	O	-
5	dier	O	-
6	tallooze	O	-
7	andere	O	-
8	vereenigingen	O	-
9	en	O	-
10	genootschappen	O	-
11	,	O	-
12	waaraan	O	-
13	Engelands	B-AGENT	17
14	hoofdstad	I-AGENT	17
15	zoo	O	-
16	rijk	O	-
17	is	REALIS	-
18	:	O	-
19	van	O	-
20	de	O	-
21	maatschappij	O	-
22	Armonica	O	-
23	af	O	-
24	tot	O	-
25	het	O	-
26	Entomologisch	O	-
27	Genootschap	O	-
28	,	O	-
29	dat	B-AGENT	32
30	voornamelijk	O	-
31	werd	O	-
32	opgericht	REALIS	-
33	om	O	-
34	schadelijke	B-PATIENT	38
35	insecten	I-PATIENT	38
36	uit	O	-
37	te	O	-
38	roeien	REALIS	-
39	.	O	-

# 8-12
0	Phileas	-	-
1	Fogg	-	-
2	was	-	-
3	lid	-	-
4	van	-	-
5	de	-	-
6	Reform-club	-	-
7	en	-	-
8	van	-	-
9	niets	-	-
10	anders	-	-
11	.	-	-

# 8-13
0	Wie	O	-
1	zich	O	-
2	verwonderen	IRREALIS	-
3	mocht	O	-
4	,	O	-
5	dat	O	-
6	zulk	O	-
7	een	B-PATIENT	18
8	geheimzinnig	I-PATIENT	18
9	man	I-PATIENT	18
10	onder	I-PATIENT	18
11	de	I-PATIENT	18
12	leden	I-PATIENT	18
13	van	I-PATIENT	18
14	dien	I-PATIENT	18
15	aanzienlijken	I-PATIENT	18
16	kring	I-PATIENT	18
17	werd	O	-
18	opgenomen	REALIS	-
19	,	O	-
20	vindt	REALIS	-
21	daarvan	O	-
22	de	O	-
23	verklaring	O	-
24	in	O	-
25	de	O	-
26	omstandigheid	O	-
27	,	O	-
28	dat	O	-
29	hij	O	-
30	was	O	-
31	voorgesteld	REALIS	-
32	door	O	-
33	de	B-AGENT	31
34	gebroeders	I-AGENT	31
35	Baring	I-AGENT	31
36	,	O	-
37	bij	O	-
38	wie	O	-
39	hij	B-AGENT	43
40	een	O	-
41	open	O	-
42	crediet	O	-
43	had	REALIS	-
44	.	O	-

# 8-14
0	Altijd	O	-
1	werden	O	-
2	zijne	B-PATIENT	6,8
3	wissels	I-PATIENT	6,8
4	op	O	-
5	zicht	O	-
6	betaald	REALIS	-
7	en	O	-
8	geboekt	REALIS	-
9	op	O	-
10	zijn	O	-
11	rekening-courant	O	-
12	,	O	-
13	waarop	O	-
14	hij	B-AGENT	18
15	altijd	O	-
16	als	O	-
17	crediteur	O	-
18	stond	REALIS	-
19	.	O	-

# 9-1
0	Was	IRREALIS	-
1	deze	B-AGENT	0
2	Phileas	I-AGENT	0
3	Fogg	I-AGENT	0
4	rijk	O	-
5	?	O	-

# 9-2
0	Zonder	O	-
1	eenigen	O	-
2	twijfel	O	-
3	.	O	-

# 9-3
0	Maar	O	-
1	hoe	O	-
2	had	O	-
3	hij	B-AGENT	5
4	fortuin	O	-
5	gemaakt	IRREALIS	-
6	?	O	-

# 9-4
0	Dat	O	-
1	wisten	IRREALIS	-
2	zelfs	O	-
3	de	B-AGENT	1
4	best	I-AGENT	1
5	ingelichten	I-AGENT	1
6	niet	O	-
7	,	O	-
8	en	O	-
9	Fogg	B-AGENT	10
10	was	REALIS	-
11	wel	O	-
12	de	O	-
13	laatste	O	-
14	,	O	-
15	aan	O	-
16	wien	O	-
17	men	B-AGENT	21
18	het	O	-
19	zou	O	-
20	durven	O	-
21	vragen	IRREALIS	-
