filename	sentno	begin	end	gender	number	category	mentions
ConanDoyle_SherlockHolmesDeAgraSchat	1	0	4	n	sg	PKM.in	De kennis der gevolgtrekking
ConanDoyle_SherlockHolmesDeAgraSchat	2	0	2	m	sg	PER.fic	Sherlock Holmes, zijn, zijn, zijn, zijne, hij, zijn, zijne, hij, mijn metgezel, hem, Zijn, zijn, zijne, Hij, zijne, hij, hij, Hij, hij, ik, Ik, mij, gij, Gij, gij, gij, gij, u, u, uw, Hij, hij, zijn, zijne, zijn, Mijn, hij, mij, mij, mij, ik, mij, ik, ik, Ik, ik, mijn, ik, de eenige op dat gebied in de wereld, De eenige particuliere detective, De eenige particuliere , consulteerende detective, hij, ik, het laatste en hoogste Hof van appèl voor onthullingen, mij, Ik, Ik, Mijn, mijne, mijn, mijne, Hij, Ik, hij, ik, hem, hem, zijn, hij, zijne, hem, mijn metgezel, mijn, Holmes, hij, zijn, ik, Ik, mijne, ik, hij, hij, den eenigen Sherlock Holmes, mijn, Sherlock Holmes, mijne, Uwe, hij, Gij, Ik, mijn, ik, mijn, uwe, gij, hij, zijn, zijn, mij, mij, gij, hij, zich, mij, ge, ik, ik, ik, gij, gij, uwe, hij, mij, mij, mijn, u, gij, uw, hem, hij, Hij, zijn, zijn, zijn, hij, hij, mij, Gij, mijn metgezel, hij, zijn, hij, mijn, hij, ik, gij, ik, mij, gij, gij, ik, u, Holmes, gij, u, Gij, Gij, gij, hij, ik, mijne, ik, Ik, ik, mij, gij, Ik, mij, Ik, ik, mijn, ik, zijne, mijn, ik, Ik, u, uw, gij, sir, mijn metgezel, hij, ik, mij, Ik, Sherlock Holmes, Mr. Holmes, gij, uwe, hij, ik, ik, ik, mij, gij, Holmes, zijne, zijne, Hij, zijn, zijne, mij, hij, uw, Holmes, zijn, Holmes, u, Sherlock Holmes, u, gij, Holmes, u, ik, Holmes, hem, Hij, hij, Ik, ik, mij, ik, mijn metgezel, Hij, zijn, zijn, hij, ik, Gij, een automaat, een rekenmachine, Hij, hij, mij, Ik, ik, mijne, Ik, Holmes, hij, Ik, Ik, mij, Ik, Holmes, Hij, hem, hij, hem, gij, Ik, Ik, Holmes, mij, u, Sherlock Holmes, Holmes, zijn, zijn, hij, Sherlock Holmes, gij, Holmes, zijn, hij, zijn, hij, ik, ik, Ik, ik, Ik, mijne, Hij, zijn, hij, zijn, onze metgezel, Holmes, Hij, zijn, zijn, zijn, Sherlock Holmes, hij, hij, ik, mijn metgezel, u, Deze, Mr. Sherlock Holmes, mij, Holmes, ik, mij
ConanDoyle_SherlockHolmesDeAgraSchat	2	3	5	n	sg	OBJ	zijn flesch
ConanDoyle_SherlockHolmesDeAgraSchat	2	6	8	n	sg	OBJ	den schoorsteenmantel
ConanDoyle_SherlockHolmesDeAgraSchat	2	9	14	n	sg	OBJ	zijn werktuig voor onderhuidsche inspuitingen
ConanDoyle_SherlockHolmesDeAgraSchat	2	15	18	n	sg	OBJ	zijn marokijnen foudraal
ConanDoyle_SherlockHolmesDeAgraSchat	3	1	8	n	pl	PKM.uit	zijne lange , witte , zenuwachtige vingers
ConanDoyle_SherlockHolmesDeAgraSchat	3	10	13	n	sg	OBJ	de fijne naald
ConanDoyle_SherlockHolmesDeAgraSchat	3	18	23	n	sg	OBJ	de linkermouw van zijn overhemd
ConanDoyle_SherlockHolmesDeAgraSchat	3	21	23	n	sg	OBJ	zijn overhemd
ConanDoyle_SherlockHolmesDeAgraSchat	4	4	6	n	pl	PKM.uit	zijne oogen, zijne oogen, zijne oogen
ConanDoyle_SherlockHolmesDeAgraSchat	4	8	13	n	pl	PKM.uit	den gespierden voorarm en pols, die
ConanDoyle_SherlockHolmesDeAgraSchat	4	17	21	n	sg	MISC	ontelbare teekenen van inprikkingen
ConanDoyle_SherlockHolmesDeAgraSchat	4	20	21	n	pl	MISC	inprikkingen
ConanDoyle_SherlockHolmesDeAgraSchat	5	3	6	n	sg	OBJ	de scherpe punt
ConanDoyle_SherlockHolmesDeAgraSchat	5	9	12	n	sg	OBJ	den kleinen piston
ConanDoyle_SherlockHolmesDeAgraSchat	5	16	21	n	sg	PKM.in	een langen zucht van voldoening
ConanDoyle_SherlockHolmesDeAgraSchat	5	22	25	n	sg	OBJ	den fluweelen armstoel, zijn fauteuil
ConanDoyle_SherlockHolmesDeAgraSchat	6	4	5	fm	sg	PER.fic	ik, mij, mij, ik, mij, mijn, mij, ik, mij, mij, mijn, ik, mij, mij, ik, mijn, mijne, ik, ik, mij, ik, gij, ik, mijn, Ik, mij, mijne, gij, Watson, ik, ik, kameraad, geneeskundige, die, ik, gij, ik, ik, mijn, Ik, u, Gij, gij, ik, ik, mij, mij, ik, ik, ik, mijn, Ik, ik, mijn, Ik, mijn, Ik, ik, je, mij, Ik, ik, ik, gij, ik, gij, u, ik, mij, ik, gij, gij, ik, ik, ik, mij, ik, mijne, u, gij, uw, ik, gij, uw, uwen, gij, gij, ik, ik, gij, ik, mijn, mij, Ik, ik, mij, ik, Ik, mijn, mij, ik, mij, mijn, ik, mijn, uw, uwen, uw, Uw, uw, ik, Ik, mijn, ik, ik, mijn, mij, ik, Waarde dokter, u, u, u, gij, ge, u, gij, uw, Ik, ik, uw, u, u, gij, ik, ik, ik, Ik, ik, dokter, Ik, mijn, mijn, dokter, gij, mijne, ik, ik, ik, Ik, mijn, Gij, mij, ik, mijn, mijne, mij, uw vriend, hij, Ik, mij, Gij, mij, ik, Dr. Watson, de rechte man, hij, Ik, mij, ik, ik, Mij, ik, ik, mij, mijn, ik, uw, u, gij, uw, ik, u, Ik, mijn, mijne, Mijn, ik, mij, ik, mijn, mij, mijn, ik, Een arm geneesheer, ik, mijn, ik, ik, Gij, gij, gij, Ik, mijn, ik, ik, mij, Ik, Ik, mijner, ik, mijne, ik, ik, mijne, mijn, deze, Dr. Watson, Een dokter, gij, uw, u, u, gij, gij, uw, Ik, ik, Gij, Ik, mij, Ik, mijn, ik
ConanDoyle_SherlockHolmesDeAgraSchat	6	12	14	n	sg	PKM.in	deze verrichting, de gewoonte, er
