filename	sentno	begin	end	gender	number	category	mentions
Multatuli_MaxHavelaar	0	0	2	n	sg	MISC	EERSTE HOOFDSTUK
Multatuli_MaxHavelaar	1	0	1	fm	sg	PER.fic	Ik, makelaar in koffie, mijn, ik, ik, ik, ik, een man van zaken, ik, mij, ik, ik, mijn, ik, makelaar in koffie, Ik, ik, Ik, Ik, Ik, ik, me, Ik, ik, ik, mijn, mijn, Ik, kind, ik, mij, ik, mijn, ik, Batavus, ik, ik, ik, mijn, mijn, ik, mijn, ik, ik, mijn, Ik, lid van Artis, ik, mijn, mijn, ik, mijn, ik, Ik, ik, Ik, ik, ik, die, mijn, mijn, ik, mij, Ik, ik, mijzelf, Ik, Ik, die, ik, mijn, mijn persoon, me, ik, ik, mijn, ik, mijn, ik, mijn, Ik, makelaar in koffie, mij, ik, mijn, ik, Ik, ik, Ik, ik, mijn, mijn, ik, ik, mijn, ik, ik, ik, mijn, ik, ik, mijn, mijn, mijn, ik, mij, mijn, Ik, makelaar in koffie, mijn, mijn, Ik, ik, ik, ik, Die Co, ik, mijn, ik, mij, ik, ik, ik, ik, ik, mijn, ik, ik, Ik, me, ik, ik, ik, ik, mijn, me, ik, ik, ik, mijn, ik, mijn, Ik, mijn, ik, me, ik, mij, me, mij, Ik, ik, ik, ik, mij, ik, Ik, u, Ik, ik, ik, ik, m'nheer Droogstoppel, Batavus Droogstoppel, Droogstoppel, ge, ik, ik, mij, mij, ik, Ik, ik, me, ik, ik, mij, U, Ik, ik, me, ik, ik, ik, ik, ik, Ik, ik, mij, ik, ik, Ik, ik, mijn, mijn, mij, ik, mijn, mij, ik, ik, mijzelf, ik, ik, mijn, Ik, mij, me, ik, mij, ik, ik, Ik, man, vader, mij, ik, mij, mijn, ik, ik, ik, ik, ik, mijn, me, ik, ik, ik, me, Ik, ik, Ik, mij, Ik, ik, mij, ik, Ik, mijn, ik, ik, ik, ik, een gamin, ik, me, Ik, ik, me, mij, Ik, mijn, mij, ik, mijn, ik, ik, ik, me, me, ik, Ik, me, ik, mij, ik, ik, u, mij, me, mijn, ik, mijn, ik, mij, Ik, ik, Ik, Ik, ik, ik, ik, ik, mij, Ik, ik, ik, ik, Ik, ik, ik, me, Ik, me, mijn, Beste Droogstoppel, u, mij, mij, ik, ik, u, Ik, mijn, ik, ik, mij, Ik, ik, mij, me, Ik, mijn, ik, ik, Ik, Droogstoppel, Ik, Weledele Heer Droogstoppel, ik, u, gij, uw, ik, ik, ik, ik, ik, Ik, ik, u, ge, u, ge, ik, Ik, uw, ik, ik, ik, mij, Ik, ik, me, mij, ik, me, ik, Ik, ik, Ik, ik, Papa, Mijn, ik, mij, Ik, ik, mij, ik, ik, me, ik, ik, me, ik, mij, die, zijn, ik, ik, ik, ik, ik, mijn, ik, ik, ik, me, ik, mijn, mij, ik, Ik, ik, me, Ik, mijn, mijn, Ik, ik, me, ik, mijn, mijn, me, ik, ik, ik, Ik, hem, Ik, ik, ik, ik, mij, ik, mijn, ik, mijn, ik, Ikzelf, ik, mij, Ik, me, ik, ik, ik, mijn, ik, ik, Ik, ik, mijn, ik, ik, ik, ik, ik, ik, mijn, Mijn, ik, makelaar in koffie, Ik, ik, ik, ik, ik, ik, ik, me, mijn, Ik, ik, mij, ik, ik, ik, Ik, ik, ik, die, ik, u, ik, mijn, ik, mij, ik, mij, ik, ik, ik, me, Ik, Ik, ik, ik, ik, me, Ik, ik, ik, mijn, ik, ik
Multatuli_MaxHavelaar	1	9	11	n	sg	LOC.water	de Lauriergracht, de Lauriergracht, Lauriergracht, Lauriergracht, Lauriergracht, Lauriergracht, Lauriergracht, Lauriergracht, Lauriergr, Lauriergracht, Lauriergracht
Multatuli_MaxHavelaar	1	9	15	n	sg	LOC.punt	de Lauriergracht , N ° 37, de Lauriergracht N ° 37, Lauriergracht , N ° 37, Lauriergracht N ° 37, Lauriergracht , N ° 37, Lauriergracht N ° 37, Lauriergracht N ° 37, Lauriergracht , N ° 37, Lauriergracht , N ° 37
Multatuli_MaxHavelaar	2	2	4	n	sg	PKM.in	mijn gewoonte
Multatuli_MaxHavelaar	2	27	32	n	sg	OBJ	een paar riem papier extra
Multatuli_MaxHavelaar	2	36	38	n	sg	OBJ	het werk, dat, dat
Multatuli_MaxHavelaar	2	41	42	fm	sg	PER.misc	gij, lieve lezer, ge, ge, ge, u, ge, ge, ge, ge, lezer, lezer, gij, u, u, u, u, u, gij, u, lezer, ge, Ge, lezer, ge, ge, u, ge, lezer, ge, u, lezer, ge, ge, u, Ge, lezer, Waarde lezer, ge, lezer, ge, ge, u, Ge, lezer, Ge, lezer, Gij, ge
Multatuli_MaxHavelaar	2	48	50	n	sg	PKM.uit	de hand
Multatuli_MaxHavelaar	2	60	63	fm	sg	PER.misc	makelaar in koffie
Multatuli_MaxHavelaar	3	9	11	n	sg	PKM.in	een roman
Multatuli_MaxHavelaar	4	8	10	n	pl	PKM.in	zulke dingen
Multatuli_MaxHavelaar	4	17	19	n	sg	PKM.in	de onbeschaamdheid
Multatuli_MaxHavelaar	4	21	23	fm	sg	PER.misc	een dichter
Multatuli_MaxHavelaar	4	24	25	fm	sg	PER.misc	romanverteller
Multatuli_MaxHavelaar	5	3	5	n	sg	PKM.in	mijn vak, mijn vak, mijn vak
Multatuli_MaxHavelaar	5	22	24	fm	sg	PER.misc	een principaal, een principaal, iemand die koffie verkoopt
Multatuli_MaxHavelaar	5	33	35	n	sg	PKM.in	een opgave
Multatuli_MaxHavelaar	5	39	44	n	sg	MISC	een klein gedeelte der onwaarheden
Multatuli_MaxHavelaar	5	43	44	n	pl	PKM.in	onwaarheden, die
Multatuli_MaxHavelaar	5	51	53	n	sg	MISC	de hoofdzaak
Multatuli_MaxHavelaar	5	58	61	fm	pl	PER.fic	Busselinck & Waterman, Dat, makelaars in koffie, hun, Busselinck & Waterman, ze, Busselinck & Waterman, Busselinck & Waterman, onderkruipers, dien, Busselinck & Waterman, Busselinck & Waterman, Busselinck & Waterman, Busselinck & Waterman, Busselinck & Waterman
Multatuli_MaxHavelaar	6	8	10	n	sg	PKM.in	hun adres
Multatuli_MaxHavelaar	7	14	17	n	pl	PKM.in	andere valsche opgaven
Multatuli_MaxHavelaar	8	7	8	fm	pl	PER.misc	menschen, die, zich
