filename	sentno	begin	end	gender	number	mentions
Nescio_DeUitvreter	0	0	2	m	sg	DE UITVRETER, een wonderlijker kerel, den uitvreter, Den uitvreter, dien, zijn, Den uitvreter, die, -ie, Den uitvreter, die, die, die, die, die, zijn, -ie, z'n, hij, Z'n, Japi, Z'n, hem, -ie, Japi, Japi, hem, hij, ie, ie, hem, ie, Japi, diezelfde kerel, hem, Japi, z'n, z'n, zich, ie, hem, Japi, z'n, z'n, z'n, Japi, Japi, ik, Japi, Japi, Japi, Japi, z'n, Ik, -ie, Japi, Japi, u, Japi, Ik, ik, m'n, ik, me, ik, mijn, ik, ik, ik, Ik, me, ik, Ik, m'n, u, Japi, U, Japi, ik, ik, Ik, Japi, Japi, ik, ik, ik, Ik, ik, Ik, ik, ik, Japi, z'n, z'n, z'n, Japi, hij, Japi, ie, zijn, 'm, Hij, ie, Hij, Japi, Japi, Japi, z'n, Japi, Japi, Ik, ie, Japi, Japi, zijn, dat, zich, ie, z'n, mijn, mijn, mijn, Japi, Hij, Hij, hij, ie, ie, Z'n, z'n, ie, Japi, Japi, een kerel als een karrepaard, Japi, me, Japi, mijnheer, Japi, Japi, Japi, ie, hij, Japi, Japi, Ik, mijn, ik, ie, Japi, 'm, Japi, ie, hem, Japi, hem, Japi, zelf, Japi, Japi, Japi, hij, ie, Z'n, -ie, ie, Japi, 'm, Japi, ie, ie, ie, Ik, Hij, Japi, ie, ie, ie, ie, hij, ik, Japi, Japi, dit, Japi, een kerel waar je plezier van kunt beleven, Japi, u, Japi, Japi, Japi, ik, Japi, Japi, die heer, Japi, Japi, Hij, Japi, 'k, ik, je, ik, Japi, ik, Ik, Japi, Japi, Japi, jij, Japi, Japi, zijn, Japi, deze heer, een verdomd goeie kerel, hij, Japi, Japi, zijn, hij, hij, Japi, de man, ie, zijn, z'n, Japi, ik, mijn, z'n, ie, ie, z'n, Z'n, ie, ouwe heer, z'n, Japi, z'n, Japi, ie, Japi, Appi, Japi, mijn, u, Japi, Ik, Ik, me, ik, ik, Hij, z'n, Japi, Ik, m'n, Ik, mijn, ik, ik, m'n, Japi, z'n, ik, ik, Japi, Japi, ie, zich, z'n, hij, z'n, Ik, ie, Japi, Ik, -ie, Hij, z'n, z'n, -ie, Japi, hij, z'n, Japie, z'n, z'n, z'n, ie, ie, hem, je kaduukstoker, Japi, Japi, Japi, Hij, 'm, ik, ie, me, ik, ik, Hij, ie, Hij, Japi, hij, hij, Japi, die kerel, 'm, hij, je, Japi, Japi, ie, ie, Ik, m'n, Hij, z'n, z'n, ie, Ik, ik, Hij, -ie, ie, z'n, Japi, hij, Japi, Japi, z'n, je, ik, Japi, kerel, Japi, Hij, hij, Japi, Japi, hij, Japi, Japi, zich, zich, uitvreter, Japi, hij, hij, Japie, Japie, hij, Japi, ik, Hij, ie, ik, mijn, je, Ik, Japi, je, Japi, Ik, ik, ie, mijn, ik, z'n, mijn, ie, Japi, z'n, Japi, z'n, z'n, Hij, Hij, ie, ik, Hij, ik, ie, ik, Ik, mijn, ik, Hij, ie, ie, z'n, ie, zijn, ik, ie, z'n, ie, ie, z'n, ie, z'n, ie, ie, zich, z'n, Japi, hem, Hij, zelf, zich, Hij, hij, Hij, ie, Ik, ie, ik, Hij, Hij, Hij, z'n, ie, -ie, mijn, ik, ie, zich, Hij, hij, z'n, Japi, ik, me, Japi, zich, ik, me, Je, Japi, Ik, mijn, Japi, Japi, je, Japi, me, hij, z'n, z'n, Japi, z'n, ik, ik, Ik, Ik, Ik, Ik, hij, ik, Ik, Ik, ik, ik, Ik, ik, Ik, ik, ik, ik, Ik, ik, ik, ik, ik, ik, ik, ik, ik, ik, Ik, me, ik, ik, me, ik, ik, ik, Ik, Ik, zelf, ik, Ik, me, ik, ik, 'k, Ik, me, Ik, Ik, ik, mijn, Mijn, Ik, 'k, hij, zijn, ik, Ik, Japi, Hij, z'n, Ik, ik, hem, Hij, hem, hem, z'n, z'n, -ie, ie, Ik, ie, Hij, hem, hij, hij, zijn, hem, hij, hem, hij, zijn, zijn, Hij, zijn, ie, Hij, ie, hij, ie, zich, hij, zich, Hij, Hij, hij, hij, Hij, Hij, hem, Japi, hem, Mijnheer, hij, hij, zich, hij, hij, Hij, hij, hij, Hij, zijn, hij, hij, hij, hij, hem, Hij, zijn, hem, hij, zijn, Hij, hij, hij, ie, zich, zijn, zijn, zijn, hij, hij, hij, ie, hij, ie, hij, hem, Japi, Japi, Hij, Japi, zijn, Japi, Japi, Japi, hij, hem, Japi, Zijn, hem, hij, Hij, ie, Hij, ie, Hij, Japi, Japi, zijn, ie, ie, ie, Hij, hij, hij, Japies, Japi, ie, Hij, ie, ie, ie, ie, ie, zijn, zijn, Ik, me, ie, ie, hij, hij, ie, hem, Hij, Hij, hem, Hij, Japi, Japi, jij, Japi, Je, een verdomd knappe kerel, Japi, een harde werker, hem, ie, hem, hem, ie, hem, Hij, hem, hem, Hij, zich, Japi, 'm, zijn, Japi, Japi, 'm, zijn, jij, je, Hij, Ik, ie, je, Japi, Japi, ie, ie, Zijn, hem, hem, hij, hij, hem, Hij, ie, ie, Japi, Japi, hij, Z'n, ie, ie, zijn, ie, ie, zich, ie, ie, ie, -ie, -ie, ie, Hij, ie, hij, -ie, -ie, -ie, zich, ie, z'n, -ie, ie, -ie, ie, -ie, -ie, ie, -ie, zich, -ie, ie, zijn, ie, hem, ie, zich, Hij, Hij, zijn, zijn, ie, ie, -ie, zijn, hem, hij, Japi, Hij, zijn, Hij, ie, zich, ie, zich, ie, ie, ie, ie, zijn, -ie, ie, zich, Japi, ie, ie, Japi, zijn, zijn, ie, ie, ie, -ie, ie, hij, hem, Japi, ie, zijn, hij, zijn, Japi, zijn, Zijn
Nescio_DeUitvreter	2	1	3	m	sg	den man, die
Nescio_DeUitvreter	2	5	7	n	sg	de Sarphatistraat, de mooiste plek van Europa
Nescio_DeUitvreter	2	11	12	n	sg	Europa
Nescio_DeUitvreter	2	15	16	fm	sg	ik, ik, mijn, mijn, mijn, Ik, mijn, ik, mijn, ik, ik, ik, ik, mijn, mijn, mijn, ik, ik, m'n, mijn, ik, Ik, Ik, me, ik, ik, mijn, mijn, Ik, me, Ik, Ik, m'n, ik, me, ik, ik, ik, mijn, mijn, mijn, m'n, ik, mijn, mijn, mijn, m'n, m'n, m'n, mijn, mijn, 'k, m'n, m'n, m'n, mijn, m'n, ik, ik, me, ik, ik, mijn, ik, ik, mijn, ik, me, mijn, Ik, m'n, ik, ik, ik, mijn, mijn, mijn, ik, ik, ik, ik, ik, Ik, mijn, ik, me, m'n, ik, m'n, me, ik, me, me, ik, Jij, Ik, ik, Ik, mijn, ik, ik, ik, Ik, ik, m'n, Kerel, je, je, ik, Mijn, mijn, mijn, mijn, ik, ik, mij, me, Ik, je, Ik, je, me, je, Ik, m'n, ik, ik, m'n, Ik, ik, 'k, ik, ik, ik, ik, ik, ik, mij, me, ik, ik, ik, ik, je, Ik, ik, m'n, je, je, je, Ik, m'n, Ik, m'n, Ik, m'n, me, ik, ik, ik, ik, me, ik, Mijn, mijn, ik, mijn, ik, Ik, mijn, ik, ik, m'n, mij, me, je, mij, ik, Ik, mijn, m'n, ik, Ik, ik, ik, ik, ik, ik, Ik, ik, me, ik, ik, ik, ik, ik, mij, mij, ik, ik, Ik, Ik, Ik, me, ik, ik, ik, mij, ik, mij, ik, me
Nescio_DeUitvreter	3	4	5	fm	sg	je, je, je, je, je, je, je, je, je, je, je, je, Je, Je, je, je, Je, je, je, je, je, je, je, je, je, je, je, je, je, je, Je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, je, Je, je, je, je, je, je, je, Je, je, je, je, Je, je, je, je, je, jij, je
Nescio_DeUitvreter	3	6	8	n	sg	je bed
Nescio_DeUitvreter	3	11	14	n	pl	zijn vuile schoenen
Nescio_DeUitvreter	4	4	6	n	pl	je sigaren
Nescio_DeUitvreter	4	10	12	n	sg	je tabak
Nescio_DeUitvreter	4	14	16	n	pl	je steenkolen
Nescio_DeUitvreter	4	18	20	n	pl	je kasten
Nescio_DeUitvreter	4	22	23	n	sg	geld
Nescio_DeUitvreter	4	27	29	n	pl	je schoenen
Nescio_DeUitvreter	4	31	33	n	sg	een jas
Nescio_DeUitvreter	4	39	41	n	sg	den regen
Nescio_DeUitvreter	4	42	43	n	sg	huis
Nescio_DeUitvreter	5	9	14	n	sg	den naam van een ander
Nescio_DeUitvreter	5	17	19	fm	sg	een vorst
Nescio_DeUitvreter	5	19	20	n	sg	jenever, jenever, de jenever
Nescio_DeUitvreter	5	28	29	n	sg	Hollandais
Nescio_DeUitvreter	5	24	30	n	sg	"'t terras van "" Hollandais """
Nescio_DeUitvreter	5	31	36	n	pl	de centen van de lui
Nescio_DeUitvreter	5	34	36	fm	pl	de lui
Nescio_DeUitvreter	5	38	39	n	pl	parapluies
Nescio_DeUitvreter	5	45	47	n	sg	een barst
Nescio_DeUitvreter	5	49	55	n	sg	de tweede hands kachel van Bavink, de kachel
Nescio_DeUitvreter	5	54	55	m	sg	Bavink, Bavink, Bavink, -ie, Bavink, Bavink, Bavink, hij, zich, Hij, Bavink, Hij, Bavink, Bavink, Bavink, Bavink, u, Bavink, ik, u, ik, Bavink, Ik, Bavink, Bavink, Bavink, Bavink, Bavink, Hij, Bavink, z'n, z'n, Bavink, z'n, ie, ie, Bavink, Bavink, Bavink, Bavink, 'm, Bavink, zijn, Bavink, Bavink, een kerel, die, ie, Hij, ie, ie, zijn, ie, ie, ie, -ie, ie, ie, hem, zijn, zijn, Bavink, ie, zich, ie, ie, zijn, ie, zijn, zijn, ie, ie, hem, Hij, ie, ie, ie, ie, hem, hem, ie, zijn, ie, ie, ie, ie, ie, ie, ie, 'm, Hij, Z'n, zijn, ie, ie, zijn, ie, ie, ie, zijn, zijn, 'm, ie, ie, ie, 'm, ie, Bavink, hem, ie, Bavink, Bavink, Bavink, ie, ie, Bavink, Bavink, Bavink, Bavink, Bavink, Bavink, Bavink, Bavink, Bavink, Bavink, ik, zelf, Bavink, Bavink, ik, Bavink, zich, Ik, Bavink, Bavink, Bavink, jij, Bavink, Bavink, je, jou, Bavink, Bavink, Bavink, Bavink, hij, Bavink, zich, Bavink, die heer, zijn, hij, Bavink, Bavink, Bavink, z'n, Bavink, 'm, Bavink, Bavink, Bavink, Bavink, Bavink, Bavink, z'n, Bavink, Bavink, Bavink, die, Bavink, Bavink, die, Bavink, Bavink, Bavink, Bavink, Bavink, Bavink, Bavink, zijn, Bavink, Bavink, hij, Bavink, ie, Bavink, Bavink, Bavink, Bavink, zijn, je, Bavink, zijn, zijn, Bavink, Bavink, Bavink, Bavink
Nescio_DeUitvreter	5	57	59	n	pl	dubbele boorden
Nescio_DeUitvreter	5	61	63	m	sg	zijn broer
Nescio_DeUitvreter	5	64	66	n	pl	de boeken
Nescio_DeUitvreter	5	68	69	m	sg	Appi, appies, Appi, Appi, Appi, een fideele kerel, ie, ie, hij, een fideele kerel, ie, z'n, ie, Appi, z'n, Appi, z'n, hem, Appi, Appi
Nescio_DeUitvreter	5	71	73	n	pl	buitenlandsche reizen
