filename	sentno	begin	end	gender	number	category	mentions
Nescio_Dichtertje	0	0	1	m	sg	PER.fic	DICHTERTJE, 't dichtertje, een knap , jong ventje, Hij, Z'n, -ie, zijn, een dichtertje, 'm, Hij, een zwak dichtertje, -ie, Hij, 't Dichtertje, hij, hij, hij, Hij, ie, -ie, z'n, Hij, hij, ie, z'n, ie, ie, -ie, -ie, -ie, -ie, -ie, de vent, dichtertje, z'n, -ie, 't dichtertje, 't Dichtertje, Jouw, je, je, je, je, je, je, je, je, je, je, je, jou, je, je, je, 't dichtertje, Hij, 't dichtertje, 't dichtertje, die, -ie, mij, 't Dichtertje, 't dichtertje, 't Dichtertje, 't dichtertje, hij, hij, 't Dichtertje, hij, hij, hij, hij, hij, 'm, ie, 'm, 't Ideaaltje, ie, -ie, 'm, hem, hem, -ie, die engert, hij, ie, hij, Hij, hij, hij, hij, mijn, ie, ie, -ie, -ie, Mijn, Mijn, -ie, dien mallen kerel, ie, ie, Hij, -ie, -ie, hij, -ie, hij, Hij, ie, z'n, hij, -ie, ie, -ie, hij, Z'n, -ie, zijne, ie, een nette jongen, hem, hij, hij, 'm, z'n, z'n, z'n, z'n, 'm, hij, zich, 'm, -ie, ie, hij, hij, -ie, ie, een echt dichtertje, hem, een dichtertje, hij, -ie, haar man, zijn, 'm, -ie, zijn, ie, een dichter, z'n, hij, zich, z'n, z'n, -ie, -ie, 't Dichtertje, hem, 't dichtertje, hij, 't Dichtertje, hij, zich, hij, 't dichtertje, -ie, 't dichtertje, hem, 't dichtertje, 't dichtertje, hij, een welopgevoed mannetje, -ie, z'n, hij, hij, -ie, Ik, mij, Ik, ik, mij, Mijn, mijn, mijn, mijn, mijn, mijn, zijn, zijn, zijn, 't dichtertje, z'n, 't dichtertje, je, jij, 't dichtertje, z'n, ie, ie, zich, z'n, z'n, ie, hij, hij, zich, hij, ie, z'n, z'n, hem, Hij, z'n, 't dichtertje, hij, Dichtertje, 't dichtertje, zijn, -ie, Hij, ie, Een dichtertje, hem, ie, hij, hem, Hij, hij, Zijn, den man van haar zuster, me, Hij, Hij, hem, haar zwagertje, 'm, hij, een lief zwagertje, die, Ee, 'm, m'n, m'n, Hij, hij, Ee, Hij, z'n, 'm, z'n, hij, die, z'n, een dichtertje, hij, ik, 'm, ie, 't dichtertje, 't dichtertje, mij, ik, mijn, mijn, ik, ik, ikzelf, mij, ik, een lieven man, haar zwager, Hij, haar broer, een dichter, Ee, hij, zijn, hij, 't beminde dichtertje, z'n, 't dichtertje, Hij, z'n, z'n, z'n, Hij, zich, z'n, -ie, z'n, -ie, z'n, hem, 'm, zijn, 'm, haar neef, Hij, Hij, lid van de Partij, ie, hem, hij, -ie, Hij, z'n, z'n, ie, z'n, -ie, 't dichtertje, -ie, ie, Jonge, jij, een fijne man, Hij, ie, hem, z'n, ie, z'n, Hij, zichzelf, ie, z'n, 'm, z'n, Z'n, 't dichtertje, 'm, dit nette , onschadelijke , jonge burgerheertje, hij, ie, Hij, z'n, 'm, hem, z'n, 'm, 't dichtertje, hij, 't Dichtertje, Die meneer, 't dichtertje, zijn, -ie, 't dichtertje, z'n, -ie, z'n, 't Dichtertje, Hij, Mijn, -ie, -ie, -ie, z'n, 'm, -ie, z'n, -ie, z'n, Z'n, -ie, ie, z'n, -ie, 't dichtertje, -ie, Z'n, Haar neef, ie, Hij, hij, ie, Eduard, onzen langjarigen medewerker, mededirecteur, Hem, hij, iemand, dien, die, Zoo'n man als een zee, Ee, Hij, hij, 'm, ie, hij, ie, hij, z'n, -ie, Hij, z'n, zich, Hij, hem, een degelijk heer, je, Hij, Hij, z'n, je, Hij, Hij, 't dichtertje, hem, een degelijk heer, hij, Hij, hij, zijne, 't dichtertje, 't dichtertje, zijn, ie, hij, z'n, een dichtertje, zijner, 't dichtertje, zijn, 't dichtertje, -ie, ie, z'n, zijn, ie, ie, een lief zwagertje, z'n, z'n, hij, zichzelf, Hij, hem, 't dichtertje, -ie, hij, hem, Hij, een net en degelijk heer, ie, ie, z'n, hij, Hij, hem, 't Dichtertje, Z'n, z'n, -ie, z'n, hem, z'n, Hij, z'n, -ie, Hij, ie, z'n, -ie, -ie, -ie, hij, z'n, jongen, z'n, Hij, zichzelf, hij, z'n, -ie, hij, -ie, -ie, 't Dichtertje, z'n, -ie, hij, hij, ik, Hij, zijn, z'n, hij, hij, -ie, Hij, Hij, z'n, 'k, ik, ik, je, je, Hij, z'n, 'm, z'n, hij, ie, Hij, Ee, Hij, z'n, ie, z'n, ie, ie, z'n, jou, hij, zijn, Ee, je, Ee, je, Hij, zijn, Hij, z'n, hij, hem, hij, Z'n, z'n, Eduard, Ik, God, -ie, Ik, God, Ik, de onwrikbare, de onbarmhartige, Ik, Ik, ik, ik, hem, -ie, ik, ik, God, Ik, Ik, de vruchtbaarheid, me, me, hij, me, Ik, de vruchtbaarheid, ik, Ik, Ik, je, hem, Hij, z'n, je, hij, z'n, 't Dichtertje, Hij, z'n, Z'n, z'n, 'm, 't dichtertje, z'n, 'm
Nescio_Dichtertje	4	2	6	m	sg	PER.nfic	de God van Nederland, zijn, z'n, z'n, de God van Nederland, mij, God, Hij, God, ons Lieve Heer, -ie, God, God, hem, ie, ie, ie, ie, hij, God, God, God, God, z'n, z'n, z'n, z'n, z'n, z'n, z'n, Z'n, ie, Gods, God, Jouw God, de God, De God, De God van al die menschen, De God, die, je, de God van meneer Volmer, De God van allen, De God van Nederland, God, hij, z'n, -ie, 'm, De God van Nederland, God, -ie, -ie, God, God, Mijn God, God, God, God, God, God, de God van Nederland, hij, z'n, hij, z'n, Z'n, -ie, z'n, Z'n, De God van Nederland, God, Hij, hij
Nescio_Dichtertje	4	5	6	n	sg	LOC.land	Nederland, Nederland, Nederland, heel Nederland, Nederland, Nederland, Nederland, Nederland
Nescio_Dichtertje	4	6	9	n	sg	PKM.uit	zijn eerbiedwaardig hoofd
Nescio_Dichtertje	4	12	16	n	pl	PKM.uit	z'n eerbiedwaardige grauwe bakkebaarden
Nescio_Dichtertje	4	20	22	n	sg	OBJ	z'n vest
Nescio_Dichtertje	6	2	4	n	sg	MISC	een fout
Nescio_Dichtertje	7	0	5	m	sg	PER.fic	Een dichter met nergens haar, Hij, hij, de dichter in hem
Nescio_Dichtertje	8	10	11	fm	pl	PER.misc	dichters, die dichters, ze
Nescio_Dichtertje	9	0	1	fm	sg	PER.misc	Je, je, je, je, Je, je, je, je
Nescio_Dichtertje	15	6	7	m	sg	PER.nfic	Potgieter, Potgieter, Potgieter
Nescio_Dichtertje	16	5	6	n	sg	MISC	narigheid
Nescio_Dichtertje	17	3	6	n	sg	LOC.punt	de Leidsche straat, straat
Nescio_Dichtertje	17	7	9	f	sg	PER.fic	een meisje, haar, Het meisje, een kindje, een meisje van vijf jaar, een snoes, die, Haar kindje, het kindje met witte halve kousjes, haar, Het, 't, haar, haar, 't Kindje, 't, 't kleintje, haar, haar kindje, haar kindje, haar, 't kind, haar, haar, 't kindje, Bobi, me, kindje, je, Bobi, je, je, kindje, haar kindje, Bobi, je, haar, haar, 't Kindje, een vies kindje, 't kindje, haar, 't kindje, Bobi, haar, Bobi, Bobi, z'n dochter, z'n dochtertje, Z'n Bobi van nu, ze, Bobi, Bobi, Bobi
Nescio_Dichtertje	19	4	7	f	pl	PER.misc	honderde andere meisjes, honderde andere meisjes in Amsterdam, honderde , duizende van die meisjes, die meisjes, De andere meisjes, ze, ze, hun, hun drieën, ze, elkaar, ze, ze
Nescio_Dichtertje	19	12	14	n	sg	MISC	't wit, Het wit
Nescio_Dichtertje	19	15	17	n	sg	OBJ	zijden blouse
Nescio_Dichtertje	19	18	21	n	sg	OBJ	korte frotté rok
Nescio_Dichtertje	19	22	24	n	pl	OBJ	witte kousen
Nescio_Dichtertje	19	25	27	n	pl	PKM.uit	fijne enkeltjes
Nescio_Dichtertje	19	28	31	n	pl	OBJ	lage witte schoentjes, de lage witte schoentjes, lage witte schoentjes
Nescio_Dichtertje	19	33	35	n	pl	PKM.uit	lieve oogen, wetende oogen
Nescio_Dichtertje	19	40	41	n	sg	LOC.bc	Amsterdam, Amsterdam, Amsterdam, Amsterdam, een dorp, Amsterdam, Amsterdam, Amsterdam, 't dorp, heel Amsterdam, 't dorp, Amsterdam, Amsterdam, Amsterdam, de hoofdstad van Nederland, Amsterdam
Nescio_Dichtertje	20	0	1	n	pl	PKM.uit	Oogen, die, ze, ze, ze, ze, ze, die wetende oogen, die wetende oogen
Nescio_Dichtertje	23	4	5	n	sg	MISC	kwestie
Nescio_Dichtertje	24	4	5	n	pl	MISC	versjes
Nescio_Dichtertje	25	3	4	n	sg	MISC	één
Nescio_Dichtertje	25	8	9	n	sg	MISC	bedrog, een vroom bedrog van God
Nescio_Dichtertje	29	8	10	n	pl	PKM.uit	de hoofden
