filename	sentno	begin	end	gender	number	category	mentions
Tolstoy_AnnaKarenina	0	0	2	f	sg	PER.fic	Anna Karenina, mijn zuster Anna Arkadiewna, Anna Arkadiewna, Stipan's lievelingszuster, haar, haar, Anna, haar, Anna Arkadiewna, Anna
Tolstoy_AnnaKarenina	2	0	3	m	sg	PER.nfic	Graaf Leo Tolstoï
Tolstoy_AnnaKarenina	3	0	2	n	sg	MISC	EERSTE BOEK
Tolstoy_AnnaKarenina	5	0	2	fm	pl	PER.misc	Gelukkige huisgezinnen, elkander
Tolstoy_AnnaKarenina	5	6	9	fm	sg	PER.misc	ieder ongelukkig gezin
Tolstoy_AnnaKarenina	6	1	5	n	sg	LOC.punt	het huis der Oblonsky's, het huis, huis, huis, huis, huis, huis, het huis, het belendend vertrek, één huis, het huis, het huis van vorst Tscherbatzky
Tolstoy_AnnaKarenina	6	3	5	n	pl	PKM.in	der Oblonsky's
Tolstoy_AnnaKarenina	7	0	2	f	sg	PER.misc	De huisvrouw, haar, zij, De huisvrouw, haar, zijn vrouw, zijn vrouw, zij, zij, zijn vrouw, deze, Zij, de altijd bekommerde en zorgvolle, de naar zijn opvatting oppervlakkige Dolly, zij, zijner vrouw, Dolly, zij, haar, zij, zij, haar, zijn eigen vrouw, moeder van vijf levende en twee gestorven kinderen, zij, zijn vrouw, zijn vrouw, haar, zijn vrouw, ze, zij, een zwakke , vroeg verouderde en niet eens meer knappe vrouw, een door niets uitmuntende , eenvoudige en slechts goede huismoeder, Zij, haar, haar, haar, Darja Alexandrowna, zij, Darja Alexandrowna, haar, zij, Darja Alexdrowna, zij, zijn vrouw, Darja Alexandrowna, haar, Zij, Zij, zijner vrouw, zijn vrouw, zijn vrouw, haar, mama, Mama, die, ze, zij, mama, zij, dat, wat, zijn vrouw, zij, zijner vrouw, Darja Alexandrowna, zij, ze, zij, haar, Zij, zij, Zij, zij, haar, haar, ze, zich zelf, zij, haar, Zij, haar, ze, zich, haar, Zij, zij, zij, zich zelf, ze, haar, zij, ze, haar, zij, zij, zij, zich, Haar, Dolly, Zij, zij, ik, ik, Haar, haar, zij, haar, Dolly, mij, Ik, zij, Dolly, mij, zij, zijn vrouw, haar, zij, Dolly, Zij, Dolly, Zij, haar, ze, zij, mij, Zij, zich, Dolly, Dolly, Zij, zich, haar, haar, Zij, ik, zij, zij, zich zelf, zij, haar, haar, Zij, zich, Ik, ik, ik, ik, zij, mijn, mij, zij, zich, mij, mij, mij, mij, haar, zij, haar, haar, haar, Zij, haar, zij, zij, Darja Alexandrowna, haar, zij, zich, ze, zij, ze, zij, Zij, zij, Dolly, haar, mij, ik, Ik, Zij, zich, zij, Darja Alexandrowna, haar, zij, haar, zij, haar, haar, haar, zij, zij, zich, haar, zij, mij, zij, haar, zij, haar, zij, zich, ik, zij, haar, ik, ik, zij, ik, Darja Alexandrowna, haar, zijn vrouw, mijn vrouw, Dolly, Dolly, Dolly, haar
Tolstoy_AnnaKarenina	7	8	10	m	sg	PER.fic	haar man, hem, hem, Stipan Arkadiewitsch Oblonsky - Stiwa, hij, zijn, zijn, zijn, Hij, zijn, zijn, hij, zich, hij, zich, Stipan Arkadiewitsch, hij, hij, hij, zijn, zijn, zijn, hij, zich, zijn, hij, hij, zich, hij, zijn, zijn, hij, zijn, hem, zijn, zijner, mij, mijn, mijn, ik, hij, hij, zich, hem, hij, hij, zijn, zijn, zijn, hem, hij, Stipan Arkadiewitsch, hij, zijner, Hem, hem, zijn, zijn, zich, zich, hij, zijn, Stipan Arkadiewitsch, die, zijn, zijn, hij, zich zelf, haar echtgenoot, Stipan Arkadiewitsch, hij, zich, Stipan Arkadiewitsch, zich zelf, Hij, zich zelf, zijn, hem, Hij, hij, een vijf-en-dertigjarig man met licht ontvlambaar temperament, zijn, hij, Hij, hij, hij, hij, zijn, zijn, hij, zijn, zijn, hij, hij, hij, zijn, hem, hem, Stipan Arkadiewitsch, ik, hij, zich, ik, mij, hij, Stipan Arkadiewitsch, zich zelf, zijn, zijn, zijn, zijn meester, Stipan Arkadiewitsch, zich, zijn heer, Stipan Arkadiewitsch, hij, Stipan's, mij, zijn heer, u, Stipan Arkadiewitsch, Hij, hij, zijn, mijn, hij, zijn heer, Stipan Arkadiewitsch, zijn, hij, hem, mij, u, Stipan Arkadiewitsch, u, u, zijn heer, Stipan Arkadiewitsch, zijn, hij, mijnheer, mijnheer, hij, Stipan Arkadiewitsch, hij, zijn, hij, zijn, Mijnheer, u, Gij, mijnheer, mijnheer, u, mij, gij, uwe, mijnheer, u, Stipan Arkadiewitsch, mij, hij, zijn, Stipan Arkadiewitsch, hij, zich, hij, zich, zijn, hij, hem, hij, hem, Hij, zijn, hem, hem, hij, hem, hij, hij, Stipan Arkadiewitsch, hem, hij, zich, zijn, hij, zijn, hij, hem, Hij, zich, hem, hij, hij, hem, hij, zijn, hij, zijn, Stipan Arkadiewitsch, zijn, Stipan, hem, zijn, Stipan Arkadiewitsch, Stipan, hij, zijn, zijn, Hij, Hij, hem, hij, hij, hem, Hij, hem, hij, hij, zijn, hij, zijn, hem, hem, Stipan, Stipan, Hij, hun vader, zijn, hem, hem, zijn, haar vader, zijn, zijn, zijn, Haar vader, hij, zijn, hij, hem, Hij, hij, zijn, zijn vader, Stipan Arkadiewitsch, hij, papa, hij, haar vader, Hij, hij, hij, hij, hij, u, Stipan, ik, mij, U, Stipan Arkadiewitsch, zijn, Stipan, zijn, hij, hij, zijn, hij, Hij, hij, zijn, Hij, zijn, ik, hij, zich, Hij, hem, hij, zijn, hij, wien, zijn, hij, zich zelf, Hij, hem, zijn, hem, hem, hem, hij, hem, hem, haar echtgenoot, hem, haar man, hem, hij, Hij, zijn, hem, hij, hem, gij, hij, Stipan Arkadiewitsch, zijn, hij, zijn, zijn, hij, hem, zijn, zijn, Mijn, ik, Hij, zijn, hem, ik, hij, hij, uw, uw, Zijn, zijn, hij, Ik, mij, mij, mijn, ik, ik, Ik, ik, ik, mij, mij, Hij, Hij, Gij, je, hem, hij, hem, hun vader, een liederlijken vader, een liederlijken vader, mijn echtgenoot, de vader mijner kinderen, ik, hij, Gij, Uw, Gij, gij, Gij, gij, een vreemde, een vreemde, Hij, hij, zich, Hij, zijn, hij, mij, mij, hij, hij, mijn, hij, mijn, mij, hij, gij, een laag mensch, gij, gij, uw, Stipan Arkadiewitsch, zich, ik, hij, zich zelf, laag mensch, Stipan Arkadiewitsch, Stipan, zich, hij, Stipan Arkadiewitsch, hij, hij, u, Stipan Arkadiewitsch, zijn, u, hem, hij, haar man, haar man, hij, hem, hem, hem, Stipan Arkadiewitsch, zijn, hij, Hij, zijn, hem, hij, zijn zwager, Stiwa Oblonsky, hij, zijn, zijn, Stipan, Hij, zijns, hem, hij, hem, hun standgenoot en vriend, Oblonsky, zich, Hij, zich, zijn, hem, hem, hij, hij, hij, hij, zijns, hij, Stipan Arkadiewitsch, hem, zijn, zijn, zijn, zijn, zijn, hem, Stiwa, Oblonsky, hij, hem, hem, hem, Stipan Arkadiewitsch, hij, zijn, Hij, hij, die, zich, hem, hij, hij, zijn, hem, hem, zijn, zijner, zijne, hij, hem, hem, hij, hij, zich, Stipan Arkadiewitsch, hij, zijn, zijn, Stipan, zijn, zijn, zich, Hij, hij, hij, hem, Stipan's, u, Stipan, zijn, hij, zijn, zijn, Stipan Arkadiewitsch, zich, zich, zijn, zijner, hem, Stipan Arkadiewitsch, Stipan, hij, u, Oblonsky, Stipan Arkadiewitsch, zijn, hij, hij, hem, mij, hij, hij, je, mijn, Stipan Arkadiewitsch, die, zich, hij, Oblonsky, Stipan, zich, hij, hij, Stipan, hem, zijn vriend, Oblonsky, hij, Oblonsky, Ik, mij, Stipan, Oblonsky, ik, hij, Mijn, mijn, Oblonsky, Oblonsky, deze, je, ik, Stipan, je, Stipa Arkadiewitsch, hij, ik, je, Oblonsky, zich, mij, ik, je, je, Stipan Arkadiewitsch, die, zijn, mij, ik, Stipan, Stipan, ik, hij, hij, hij, Oblonsky, hij, Hij, je, ge, ik, je, je, mijn vriend, zoo'n beroemd man, gij, Oblonsky, mij, ik, Stipan, ik, mij, mijn, ik, Ik, Stipan, Stipan's, gij, Stipan Arkadiewitsch, deze, zich, zelf, Oblonsky, je
Tolstoy_AnnaKarenina	7	16	19	f	sg	PER.fic	de Fransche gouvernante, Jeanne, een gouvernante, een gouvernante, zij, mademoiselle Roland, ze, zij, de gouvernante zijner kinderen, uw liefje, liefje, haar
Tolstoy_AnnaKarenina	7	32	34	n	sg	LOC.punt	één dak
Tolstoy_AnnaKarenina	8	7	11	n	sg	PKM.in	de daaruit ontstane wanverhouding
