filename	sentno	begin	end	gender	number	category	mentions
Verne_ReisOmDeWereld	0	0	2	m	sg	PER.nfic	JULES VERNE
Verne_ReisOmDeWereld	1	3	5	n	sg	LOC.heelal	DE WERELD, wereld, de wereld, dit, de wereld, de wereld, de wereld, haar, de wereld, de wereld, de wereld, de wereld, de wereld, de wereld, wereld, de wereld, de wereld, de wereld, de wereld, de wereld
Verne_ReisOmDeWereld	1	0	8	n	sg	PKM.in	DE REIS OM DE WERELD IN 80 DAGEN, De reis om de wereld in tachtig dagen, de reis, een reis om de wereld, Een reis om de wereld, de reis, de reis om de wereld in tachtig dagen, de reis, mijne reis, De reis om de wereld, Een reis om de wereld in tachtig dagen, zij, de quaestie, deze onderneming, dit plan, zijne onderneming, een reis om de wereld, een reis om de wereld, die
Verne_ReisOmDeWereld	2	1	5	n	sg	MISC	DE 30e FRANSCHE UITGAVE
Verne_ReisOmDeWereld	3	0	2	m	sg	PER.nfic	GERARD KELLER
Verne_ReisOmDeWereld	5	1	3	m	sg	PER.fic	Phileas Fogg, den een, meester, Phileas Fogg esq, een der zonderlingste en meest bekende leden van de Reform-club te Londen, hij, zijn, zich, Phileas Fogg, een raadselachtig persoon, hij, een hoogst wellevend man, een der schoonste gentlemen uit de aanzienlijkste kringen, hij, zijn, zijn hoofd, zijne, Engelschman van geboorte, hij, hem, Phileas Fogg, Hij, Zijn, hij, Hij, Hij, Hij, Phileas Fogg, een geheimzinnig man onder de leden van dien aanzienlijken kring, hij, hij, zijne, hij, crediteur, deze Phileas Fogg, hij, Fogg, de laatste, hij, deze gentleman, Hij, hem, zijn, hij, hij, zijn, hij, hij, hij, zijne, hij, Hij, zijn, Phileas Fogg, hem, zijn, hem, Hij, zijne, zijn, hij, hij, hij, Fogg, hij, hem, zich, zich, zijn, Phileas Fogg, Hij, zijn, hem, Zijn, hij, Hij, zijn, zijne, Hij, zijn, hij, zijne, hij, hij, zijne, den heer des huizes, Phileas Fogg, zijn, hem, hij, zijn, hem, hij, Phileas Fogg, zijn, zijn, Fogg, zijne, zijn, zich, zijn, hij, Phileas Fogg, uw, mijnheer, u, de heer Phileas Fogg, u, mij, Ik, mijne, mijnheer, Fogg, mijnheer, mijn, Phileas Fogg, zijn, zijn, zijn, zijn meester, die, mijn nieuwe meester, Phileas Fogg, zijn aanstaanden meester, een man van omstreeks veertig jaar met een edel , schoon gelaat, Hij, hij, zijne, die gentleman, Phileas Fogg, de nauwgezetheid in persoon, zijne, zijne, Phileas Fogg, een van die mathematisch nauwkeurige mannen, Hij, hij, Hij, zich, hem, Hij, de minst gejaagde man ter wereld, hij, hij, Hij, hij, Phileas Fogg, zijn meester, Phileas Fogg esq, Een man, die, die, die, zijn, zijn meester, Phileas Fogg, Phileas Fogg, hij, zich, de stelselmatige Engelschman, zich, zijn meester, den heer Fogg, zijne, die, mijnheer Fogg, Een huiselijk en ordelijk man, Een echte automaat, Phileas Fogg, Phileas Fogg, zijn, zijn, zijn, zijn, zijn, hij, Phileas Fogg, hij, zijn, hem, zijn, hij, de gentleman, zich, zijne, Phileas Fogg, hij, Phileas Fogg, hij, zich, Phileas Fogg's, Hij, die, Phileas Fogg, hem, Phileas Fogg, zijn, zijn, Fogg, zij, Phileas Fogg, u, hij, mijnheer Fogg, Phileas Fogg, Phileas Fogg, Phileas Fogg, Phileas Fogg, die, zijn, zijn, ge, mijnheer Fogg, u, Fogg, Ik, ik, zijn medespeler, Phileas Fogg, gij, mijnheer Fogg, Fogg, zich, zijn, hij, Ik, Ik, gij, Fogg, mijnheer Fogg, Ik, Phileas Fogg, Ik, ik, Fogg, ik, Fogg, hij, ik, ik, Phileas Fogg, Hij, zijn, zijn, hij, hij, zijne, Fogg, hij, zijn, Ik, de kalme gentleman, hij, Phileas Fogg, zijn, Phileas Fogg, zijn, hij, zijne, zijne, mijnheer Fogg, zich, zijne, de bewoner van Saville Row, Phileas Fogg, zijn, Fogg, Ik, Fogg, Fogg, Ik, Fogg, ik, mijnheer, zijn meester, de heer Fogg, mijn, Fogg, een gek, een gentleman, die, die gentleman, die, hij, zich, zijn meester, Fogg, Fogg, hij, Hij, Passepartout, hij, mijnheer, Fogg, zijn, Fogg, zijn, Phileas Fogg, zijn, Zijn meester, Phileas Fogg, Fogg, hij, hij, ik, ik, hij, Zijn meester, Fogg, zijn, Fogg, hij, zich, hij, zijn, Mijne, hij, ik, mijne, mijne, mijnheer Fogg, uw, Phileas Fogg, Gij, ge, Fogg, mijne, Phileas Fogg, zijn, Phileas Fogg, zijn, Fogg, Fogg, Phileas Fogg, hij, zijn, Phileas Fogg, zich, den heer Fogg, zijne, Phileas Fogg, zijn, Fogg's, hij, Phileas Fogg, zijne, den reiziger, zijn, den heer Fogg, hij, Phileas Fogg, hij, zijne, Phileas Fogg, den gentleman, zijne, Phileas Fogg, hem, zijn, hem, Phileas Fogg, Phileas Fogg, hem, hem, zijn, hem, Ik, Phileas Fogg, Phileas Fogg's, zijne, hij, Phileas Fogg
Verne_ReisOmDeWereld	5	4	5	m	sg	PER.fic	Passepartout, den ander, knecht
Verne_ReisOmDeWereld	5	5	6	fm	pl	PER.misc	elkander
Verne_ReisOmDeWereld	6	5	15	n	sg	LOC.punt	het huis no. 7 in Saville Row , Burlington Gardens, waarin, zijn huis, zijn huis in Saville Row, zijn huis, zijne woning, het huis, Het huis in Saville Row, zich, des huizes, zijn huis, het huis no. 7 van Saville Row, huis, het huis van Saville Row, het huis, dit huis in Saville Row, dat, het huis, de geheele woning, zijn huis in Saville Row
Verne_ReisOmDeWereld	6	10	15	n	sg	LOC.punt	Saville Row , Burlington Gardens
Verne_ReisOmDeWereld	6	17	18	m	sg	PER.nfic	Sheridan
Verne_ReisOmDeWereld	6	37	41	n	sg	ORG.misc	de Reform-club te Londen, de Reform-club, de club, zijn club, de club, hare, der club, die, hun, de club, der club, de club, zijn, zijn, zijn, der club, zijne, de Reform-club, de Reform-club, de Reform-club, de Reform-club, een groot gebouw in Pall Mall, dat, de Reform-club, de Reform-club, die club, der Reform-club, de Reform club, de Reform-club, de Reform-club, der Reform-club, de Reform-club, de Reform-club, der Reform-club
Verne_ReisOmDeWereld	6	40	41	n	sg	LOC.bc	Londen, Londen, Engelands hoofdstad, Londen, Londen, Londen, der hoofdstad, Londen, Londen, Londen, Londen, de hoofdstad, LONDEN
