	ids	quote	speaker	speaker_gender	addressee	addressee_gender	addresseetype	ttokenno	begin	end
0	s1	""" Wat is het vandaag , """	ik	m	Sherlock_Holmes	m	implicit	294	0	6
1	s3	""" morphine of cocaïne ? ""
"	ik	m	Sherlock_Holmes	m	implicit	304	10	15
2	s4	""" Het is cocaïne , """	Sherlock_Holmes	m	ik	m	implicit	324	0	5
3	s6	""" een oplossing van zeven percent .
 Zoudt gij het soms eens willen beproeven ? ""
"	Sherlock_Holmes	m	ik	m	implicit	333	9	24
4	s7	""" In geen geval , """	ik	m	Sherlock_Holmes	m	implicit	349	0	5
5	s9	""" mijn gestel is de campagne in Afghanistan nog niet te boven .
 Ik kan het nog niet wagen om mij buitengewoon in te spannen . ""
"	ik	m	Sherlock_Holmes	m	implicit	359	10	36
6	s10	""" Wellicht hebt gij gelijk , Watson , """	Sherlock_Holmes	m	ik	m	explicit	393	0	8
7	s12	""" ik veronderstel dat haar invloed physiek slecht is .
 Ik voor mij vindt het echter zoo uiterst prikkelend en opklarend voor den geest , dat de latere werking slechts van zeer korten duur is . ""
"	Sherlock_Holmes	m	ik	m	explicit	405	12	48
8	s13	""" Bedenk echter , """	ik	m	Sherlock_Holmes	m	implicit	442	0	4
9	s14	""" wat er de gevolgen van zijn !
 Uw brein moge , zooals gij zegt , opgewekt en verhelderd worden , maar het is een pathologisch en ziekelijk proces , dat ten zeerste op de longen werkt en ten laatste een permanente zwakte kan teweegbrengen .
 Gij weet zelf , welk een onaangename reactie gij ondervindt .
 Waarlijk : het sop is de kool niet waard .
 Waarom zoudt gij , voor een kort voorbijgaand genoegen , het verlies riskeeren van de groote gaven waarmede gij bedeeld zijt ?
 Herinner u , dat ik niet alleen tot u spreek als kameraad , maar tevens als geneeskundige , die eenigszins voor uw gestel aansprakelijk kan geacht worden . ""
"	ik	m	Sherlock_Holmes	m	implicit	451	9	126
10	s282	""" Mijn geest verzet zich tegen al wat "" stilstand "" heet , """	Sherlock_Holmes	m	ik	m	implicit	604	0	13
11	s283	""" Geef mij problema's , geef mij werk , geef mij het ingewikkeldst geheimschrift , of de meest raadselachtige analyse , dan ben ik in de mij eigene atmosfeer .
 Dan heb ik over wonderbaarlijke middelen te beschikken .
 Maar ik verafschuw de onbeduidende "" sleur "" van het menschelijk bestaan .
 Ik smacht naar geestelijke verheffing .
 Dat is het ook waarom ik mijn eigen bizonder beroep gekozen , - of beter gezegd : geschapen heb , want ik ben de eenige op dat gebied in de wereld . """	Sherlock_Holmes	m	ik	m	implicit	621	0	90
12	s284	""" De eenige particuliere detective ? """	ik	m	Sherlock_Holmes	m	implicit	712	0	6
13	s22	""" De eenige particuliere , consulteerende detective , """	Sherlock_Holmes	m	ik	m	implicit	726	0	8
