	ids	quote	speaker	speaker_gender	addressee	addressee_gender	addresseetype	ttokenno	begin	end
0	s96	"- Haast je dan toch , Paul !
 We komen niet klaar !"	Frédérique_Van_Erlevoort	f	je	m	explicit	46	0	12
1	s97	- Haast je toch , Paul !	Frédérique_Van_Erlevoort	f	je	m	explicit	251	0	6
2	s98	Het is al over half negen !	Frédérique_Van_Erlevoort	f	je	m	implicit	264	0	6
3	s101	- Ja , ja , Freddy , wees maar niet bang , je bent al klaar !	je	m	Frédérique_Van_Erlevoort	f	explicit	271	0	16
4	s103	- Klaar ?	Marie_en_Lili	(pl, f)	Frédérique_Van_Erlevoort_en_je	(pl)	implicit	304	0	2
5	s104	- Klaar !	je	m	Frédérique_Van_Erlevoort_en_Marie_en_Lili	(pl)	implicit	334	0	2
6	s105	"- Weg van dat kruis , Jan en Karel !
 Geef die lier op , andere Jan !"	je	m	Frédérique_Van_Erlevoort_en_Jan_en_Karel_en_andere_Jan_en_Marie_en_Bet_en_Dien	(pl)	implicit	458	0	17
7	s10	"- Je vergeet mijn kroon ....
"	Frédérique_Van_Erlevoort	f	je_en_Bet_en_Dien	(pl)	implicit	549	0	5
8	s108	"- Die zal ik je opzetten , als je gepozeerd bent .
 Kom , allons ."	je	m	Frédérique_Van_Erlevoort_en_Bet_en_Dien	(pl)	implicit	555	0	15
9	s109	- Eerst wit , dan groen , dan rood !	Marie	f	de_vuurwerker	fm	explicit	665	0	9
10	s111	- Voorzichtig , Freddy , voorzichtig !	je	m	Frédérique_Van_Erlevoort_en_Marie_en_Lili_en_Bet_en_Dien	(pl)	implicit	711	0	6
11	s12	- Is het zoo goed	Frédérique_Van_Erlevoort	f	je_en_Marie_en_Lili_en_Bet_en_Dien	(pl)	implicit	756	0	4
12	s14	"- Je bent om te stelen , prachtig ; nu Marie , Lili hier !
"	je	m	Frédérique_Van_Erlevoort_en_Marie_en_Lili_en_Bet_en_Dien	(pl)	implicit	777	0	14
13	s15	"- Marie en Lili , wanhopig kijken ! meer wringen je armen , Lili !
 In wanhoop , meer in wanhoop !
 Freddy , jij meer smachten , je oogen omhoog , in je mond iets treurigs .
"	je	m	Frédérique_Van_Erlevoort_en_Marie_en_Lili_en_Bet_en_Dien	(pl)	implicit	834	0	37
14	s17	"- Zoo ?
"	Lili_Verstraeten	f	Frédérique_Van_Erlevoort_en_je_en_Marie_en_Bet_en_Dien	(pl)	implicit	872	0	2
15	s115	"- Ja , zoo !
 Zoo is het beter ; stil nu , Marie , alles klaar ?"	je	m	Frédérique_Van_Erlevoort_en_Marie_en_Lili_en_Bet_en_Dien	(pl)	implicit	878	0	17
16	s116	- Klaar !	Marie	f	Frédérique_Van_Erlevoort_en_je_en_Lili_en_Bet_en_Dien	(pl)	implicit	896	0	2
17	s119	- Kom , nu maar beginnen !	Lili_Verstraeten	f	Frédérique_Van_Erlevoort_en_je_en_Marie_en_Bet_en_Dien	(pl)	implicit	922	0	6
18	s120	- Bet , breng de lamp weg ; Dien , de deur dicht , en dan beiden hier , elk aan een kant van de porte-brisée !	je	m	Frédérique_Van_Erlevoort_en_Marie_en_Lili_en_Bet_en_Dien	(pl)	implicit	937	0	26
19	s123	""" La mort de Cléopâtre ! """	Betsy	f	mevrouw_Van_Erlevoort	f	explicit	1090	25	31
20	s124	- Dat is Freddy !	Betsy	f	mevrouw_Van_Erlevoort	f	explicit	1228	0	4
21	s125	beeldig , o beeldig !	Betsy	f	mevrouw_Van_Erlevoort	f	explicit	1236	8	12
22	s128	- En dat is Marie , en die andere , o , dat is Lili , onherkenbaar !	Betsy	f	Betsy	f	implicit	1282	0	17
23	s127	- Hoe doen ze het !	mevrouw_Van_Erlevoort	f	Betsy	f	implicit	1328	0	5
24	s130	- Prachtig , tante , prachtig !	Betsy	f	mevrouw_Van_Erlevoort_en_tante	(pl)	implicit	1352	0	6
25	s132	"- Wat ligt die Freddy stil !
 En alles zoo rijk en toch niet overladen !
 Iets als een schilderij van Makart !"	Betsy	f	mevrouw_Van_Erlevoort	f	implicit	1420	0	22
26	s134	- De freule uw dochter is al heel gauw levensmoê , mevrouw !	de_jonge_De_Woude_Van_Bergh	f	mevrouw_Van_Erlevoort	f	explicit	1451	0	12
27	s136	- Was het mooi , mama ?	Lili_Verstraeten	f	Frédérique_Van_Erlevoort_en_tante	(pl)	implicit	1569	0	6
28	s139	- Was het mooi , mevrouw ?	Frédérique_Van_Erlevoort	f	Lili_en_tante	(pl)	implicit	1579	0	6
29	s141	- Prachtig mooi !	tante	f	Frédérique_Van_Erlevoort_en_Lili	(pl)	implicit	1590	0	3
30	s142	"- Nog eens !
 Ik ben nu al half dood !"	Lili_Verstraeten	f	Frédérique_Van_Erlevoort_en_tante_en_je	(pl)	implicit	1602	0	10
31	s144	- Lili , rust dan toch !	je	m	Frédérique_Van_Erlevoort_en_tante_en_Lili_en_Marie	(pl)	implicit	1653	0	6
32	s146	"je krijgt nu zoo een vermoeiende poze .
 Tante , zegt u toch aan Lili , dat ze moet rusten !"	je	m	Frédérique_Van_Erlevoort_en_tante_en_Lili_en_Marie	(pl)	implicit	1675	22	42
33	s147	- Dien , witte lakens en witte tulle !	Marie	f	je_en_Dien	(pl)	implicit	1718	0	8
34	s148	- Ik kan niet meer !	je	m	none	none	none	1772	0	5
35	s149	Ik moet ook alles alleen doen !	je	m	none	none	none	1785	0	6
36	s150	- Frédérique , help dan toch eens aan den achtergrond !	je	m	Frédérique_Van_Erlevoort_en_Lili	(pl)	implicit	1894	0	10
37	s152	- Wat een rommel !	Lili_Verstraeten	f	none	none	none	1959	0	4
38	s155	- Dien , witte lakens en tulle , gauw !	Freddy_Marie_en_Paul	(pl)	Dien	f	explicit	2012	0	9
39	s156	- Dien , witte lakens en tulle , alle tulle en gaas , dat er is !	je	m	Dien	f	explicit	2064	0	16
40	s160	"- Jammer , dat Eline niet is gekomen ; ik had op haar gerekend , om de lange pauzes met wat muziek aan te vullen .
 Ze zingt zoo lief ."	tante	f	Betsy	f	implicit	2122	0	30
41	s162	"- Ze was waarlijk niet wel , tante .
 U begrijpt , hoe 't haar spijt , ooms verjaardag niet te kunnen meêvieren ."	Betsy	f	tante	f	explicit	2153	0	23
42	s43	"- Wat heeft ze ?
"	tante	f	Betsy	f	implicit	2177	0	4
43	s44	"- Ach , ik weet niet , ze was zenuwachtig , geloof ik .
"	Betsy	f	tante	f	implicit	2182	0	13
44	s45	"- Ze moet heusch niet zoo toegeven aan die buien .
 Met een beetje energie kom je die nervoziteit wel te boven .
"	tante	f	Betsy	f	implicit	2196	0	22
