	ids	quote	speaker	speaker_gender	addressee	addressee_gender	addresseetype	ttokenno	begin	end
0	s1	""" Wie is die eenvoudige man , die mij zoo aankijkt ? ""
"	Napoleon	m	Charles_Myriel	m	implicit	576	20	32
1	s2	""" Sire """	Charles_Myriel	m	Napoleon	m	none	589	0	2
2	s4	""" gij ziet een eenvoudig man en ik zie een groot man .
 Ieder van ons kan hier zijn voordeel mee doen . ""
"	Charles_Myriel	m	Napoleon	m	explicit	596	7	30
3	s7	""" Mijnheer de directeur , """	Charles_Myriel	m	den_directeur	m	anaphoric_pronoun	1478	0	5
4	s9	""" hoeveel zieken hebt ge op dit oogenblik ? ""
"	Charles_Myriel	m	den_directeur	m	anaphoric_pronoun	1489	11	20
5	s10	""" Zes en twintig , Monseigneur . ""
"	den_directeur	m	Charles_Myriel	m	explicit	1499	0	7
6	s11	""" Zooveel had ik er ook geteld , """	Charles_Myriel	m	den_directeur	m	implicit	1507	0	8
7	s13	""" De bedden , """	den_directeur	m	Charles_Myriel	m	implicit	1520	0	4
8	s15	""" staan zeer dicht op elkander . ""
"	den_directeur	m	Charles_Myriel	m	implicit	1529	9	16
9	s16	""" Dit heb ik gezien . ""
"	Charles_Myriel	m	den_directeur	m	implicit	1537	0	6
10	s17	""" De zalen zijn slechts kamers en ze zijn moeilijk van versche lucht te voorzien . ""
"	den_directeur	m	Charles_Myriel	m	implicit	1544	0	16
11	s18	""" Dat scheen mij ook toe . ""
"	Charles_Myriel	m	den_directeur	m	implicit	1561	0	7
12	s19	""" En , als de zon schijnt , is de tuin te klein voor de herstellenden . ""
"	den_directeur	m	Charles_Myriel	m	implicit	1569	0	17
13	s20	""" Dat kwam mij ook zoo voor . ""
"	Charles_Myriel	m	den_directeur	m	implicit	1587	0	8
14	s21	""" Bij epidemie - dit jaar hadden wij den typhus en voor twee jaren de zweetkoorts - hebben wij soms honderd zieken , waarmede wij niet weten wat wij zullen aanvangen . ""
"	den_directeur	m	Charles_Myriel	m	implicit	1596	0	32
15	s22	""" Zoo verbeeldde ik mij ook . ""
"	Charles_Myriel	m	den_directeur	m	implicit	1629	0	7
16	s23	""" Wat zal men zeggen , Monseigneur ? """	den_directeur	m	Charles_Myriel	m	explicit	1637	0	8
17	s25	""" men moet zich schikken . ""
"	den_directeur	m	Charles_Myriel	m	explicit	1650	13	19
18	s26	""" Hoeveel bedden , denkt ge , mijnheer , dat alleen in deze zaal kunnen staan ? ""
"	Charles_Myriel	m	den_directeur	m	explicit	1686	0	17
19	s27	""" In de eetzaal van Monseigneur ? """	den_directeur	m	Charles_Myriel	m	explicit	1704	0	7
20	s29	""" Er zouden wel twintig bedden kunnen staan ! """	Charles_Myriel	m	den_directeur	m	implicit	1740	0	9
21	s31	""" Hoor , mijnheer de directeur , ik zal u iets zeggen .
 Er bestaat blijkbaar een vergissing .
 Gij hebt voor zes-en-twintig personen vijf of zes kleine kamers .
 Wij hebben hier met ons drieën plaats voor zestig menschen ; ik zeg u : 't is een vergissing , gij hebt mijn woning en ik heb de uwe .
 Geef mij mijn huis terug ; dit behoort u . ""
"	Charles_Myriel	m	den_directeur	m	explicit	1766	26	96
22	s32	""" 't Is zeker , dat mijn financiën zeer bekrompen zijn . ""
"	Charles_Myriel	m	Juffrouw_Magloire	f	implicit	2298	0	12
23	s33	""" Dit geloof ik wel , """	Juffrouw_Magloire	f	Charles_Myriel	m	explicit	2311	0	6
24	s35	""" Monseigneur heeft zelfs niet eens de gelden gevorderd , welke het departement hem schuldig is voor zijn equipage en voor de reizen in het bisdom .
 De vorige bisschoppen ontvingen die altijd . ""
"	Juffrouw_Magloire	f	Charles_Myriel	m	explicit	2321	10	44
25	s36	""" 't Is waar , gij hebt gelijk , Magloire , """	Charles_Myriel	m	Juffrouw_Magloire	f	explicit	2356	0	11
26	s38	""" Equipagekosten ? waartoe die , in een stad van minder dan vier duizend inwoners ?
 Reiskosten ? waartoe dienen vooreerst deze tochten ? en hoe kan men met extra-rijtuig in deze bergachtige streken reizen ? er zijn geen wegen .
 Men kan alleen te paard reizen .
 Zelfs de brug over de Durance bij Château-Arnoux kan nauwelijks ossenkarren dragen .
 Maar deze priesters zijn allen gelijk : - hebzuchtig en gierig .
 Toen deze hier kwam , speelde hij den goeden apostel .
 Nu doet hij gelijk de anderen , en begeert equipage en extra-rijtuig .
 Hij wil weelde ten toon spreiden , gelijk de vorige bisschoppen .
 O , dat priesterras !
 Mijnheer de graaf , de zaken zullen niet eerder goed gaan , dan wanneer de Keizer ons van de papen verlost heeft .
 Weg met den Paus !
 ( op dit oogenblik raakten de zaken met Rome in de war ) , wat mij aangaat , ik ben vóór Cesar alleen , enz. , enz. , enz. ""
"	een_senator_van_het_Keizerrijk	fm	Bigot_de_Préameneu	m	explicit	2493	0	171
27	s40	""" Nu , Monseigneur is met de zorg voor anderen begonnen ; maar hij heeft eindelijk toch ook aan zich zelven moeten denken .
 Hij heeft al zijn liefdegiften , geregeld : nu hebben wij eindelijk dus drie duizend francs voor ons ! ""
"	Juffrouw_Magloire	f	Juffrouw_Baptistine	f	explicit	2679	14	57
28	s41	""" Ik houd van dien naam , """	Charles_Myriel	m	none	none	none	3063	0	7
29	s43	""" Bienvenu maakt Monseigneur weder goed . ""
"	Charles_Myriel	m	none	none	none	3074	0	7
30	s44	""" Mijnheer de maire , """	Charles_Myriel	m	de_maire_en_burgers	(pl)	implicit	3312	0	5
31	s45	""" en heeren burgers , ik zie wat u ergert ; ge vindt het zeer hoogmoedig van een armen priester , dat hij rijdt op de wijze van onzen Heiland .
 Ik verzeker u , dat ik het uit nood en niet uit ijdelheid doe . ""
"	Charles_Myriel	m	de_maire_en_burgers	(pl)	implicit	3322	10	56
