	ids	quote	speaker	speaker_gender	addressee	addressee_gender	addresseetype	ttokenno	begin	end
0	s2	""" Kijk , """	Bavink	m	none	none	none	436	0	3
1	s3	""" daar heb je waarachtig diezelfde kerel . ""
"	Bavink	m	none	none	none	443	7	15
2	s4	""" Lekker weertje , meester """	Bavink	m	DE_UITVRETER	m	implicit	497	0	5
3	s6	""" Nogal """	DE_UITVRETER	m	Bavink	m	implicit	539	0	2
4	s8	""" We zijn mooi op tijd """	Bavink	m	DE_UITVRETER	m	implicit	579	0	6
5	s10	""" Zoo ? """	DE_UITVRETER	m	Bavink	m	implicit	595	0	3
6	s12	""" ik weet van geen tijd . ""
"	DE_UITVRETER	m	Bavink	m	implicit	602	7	14
7	s14	""" kijk eens , een regenboog in 't water . ""
"	DE_UITVRETER	m	Bavink	m	implicit	645	5	15
8	s15	""" Ik vind 't hier verdomd leuk """	DE_UITVRETER	m	Bavink	m	implicit	688	0	7
9	s17	""" 't is jammer , dat 't zoo niet altijd blijft . ""
"	DE_UITVRETER	m	Bavink	m	implicit	700	12	24
10	s18	""" Over een uurtje zijn we aan """	Bavink	m	DE_UITVRETER	m	implicit	713	0	7
11	s20	""" Moet u naar Zierikzee ? """	DE_UITVRETER	m	Bavink	m	implicit	725	0	6
12	s22	""" Dat wil zeggen """	Bavink	m	DE_UITVRETER	m	implicit	735	0	4
13	s24	""" ik ga vanavond door naar Veere . ""
"	Bavink	m	DE_UITVRETER	m	implicit	744	9	17
14	s25	""" Zoo """	DE_UITVRETER	m	Bavink	m	implicit	753	0	2
15	s27	""" is u daar gelogeerd ? ""
"	DE_UITVRETER	m	Bavink	m	implicit	760	7	13
16	s28	""" Ja , daar ben ik gelogeerd en is u niet die heer uit Amsterdam , die altijd maar aan den waterkant zit ? ""
"	Bavink	m	DE_UITVRETER	m	implicit	767	0	24
17	s29	""" Ik zit nog al eens aan den waterkant , altijd is een beetje sterk .
 's Nachts lig ik op m'n bed , ik heb een uur noodig om me aan te kleeden en te ontbijten , een half uur zit ik aan mijn lunch en om zes uur moet ik weer eten .
 Maar ik zit nog al eens aan den waterkant .
 Daarvoor kom ik naar Zeeland .
 Ik maak me nog veel te druk .
 Van de week ben ik naar Amsterdam geweest .
 Ik moest wel , m'n centen waren op . ""
"	DE_UITVRETER	m	Bavink	m	implicit	799	7	104
18	s30	""" Is u Amsterdammer ? """	Bavink	m	DE_UITVRETER	m	implicit	897	0	5
19	s32	""" Ja , Goddank """	DE_UITVRETER	m	Bavink	m	implicit	906	0	4
20	s34	""" Ik ook """	Bavink	m	DE_UITVRETER	m	implicit	915	0	3
21	s35	""" U schildert niet ? """	Bavink	m	DE_UITVRETER	m	implicit	923	0	5
22	s37	""" Nee Goddank """	DE_UITVRETER	m	Bavink	m	implicit	953	0	3
23	s39	""" en ik dicht ook niet en ik ben geen natuurvriend en geen anarchist .
 Ik ben Goddank heelemaal niks . ""
"	DE_UITVRETER	m	Bavink	m	implicit	961	8	29
24	s40	""" Kijk """	DE_UITVRETER	m	Bavink	m	implicit	1050	0	2
25	s42	""" de Stad Gent . ""
"	DE_UITVRETER	m	Bavink	m	implicit	1057	7	12
26	s43	""" Nee """	DE_UITVRETER	m	Bavink	m	implicit	1136	0	2
27	s45	""" ik ben niks en ik doe niks .
 Eigenlijk doe ik nog veel te veel .
 Ik ben bezig te versterven .
 Het beste is , dat ik maar stil zit , bewegen en denken is goed voor domme menschen .
 Ik denk ook niet .
 't Is jammer dat ik eten en slapen moet .
 Liefst zou ik dag en nacht blijven doorzitten . ""
"	DE_UITVRETER	m	Bavink	m	implicit	1143	7	73
28	s46	""" Dikke Jan , die oue geduldige dikke Jan , hij staat er nog .
 Ik dacht 't wel .
 Ja hoor , hij staat er nog . ""
"	DE_UITVRETER	m	Bavink	m	implicit	1567	35	63
29	s48	""" Ja """	DE_UITVRETER	m	Bavink	m	implicit	1611	15	17
