	ids	quote	speaker	speaker_gender	addressee	addressee_gender	addresseetype	ttokenno	begin	end
0	s1	""" Hij heeft gezegd , dat hij vol van mij is .
 Vroeger kon je daar op aan . ""
"	de_God_van_Nederland	m	_de_God_van_Nederland	none	implicit	97	0	19
1	s3	""" Der Tüchtigkeit ist die Welt """	de_keizer	m		none	none	323	9	15
2	s5	""" Heer in den hemel had hij al die meisjes geschapen ?
 Of was 't een grapje van den duivel , al die wetende oogen ? ""
"	de_God_van_Nederland	m		none	none	391	0	26
3	s6	""" Mon âme prend son élan vers l'infini . ""
"	DICHTERTJE	m		none	none	747	11	20
4	s7	""" Wie was die meneer ? """	DICHTERTJE	m	den_duivel	m	implicit	919	0	6
5	s9	""" God """	den_duivel	m	DICHTERTJE	m	implicit	930	0	2
6	s258	""" Jouw God , de God van je baas en van je schoonvader en van je baas z'n boekhouder en van den gérant van de "" Nieuwe Karseboom "" .
 De God van je tante , die zei , dat je moest groeten als je langs 't huis van je baas kwam in Delft of Oldenzaal , waar was 't ook weer , ook al zag je niemand , je kon nooit weten wie 't zag .
 Van je tante , die je zuster altijd liet breien .
 "" Een vrouw mag niet stilzitten . ""
 De God van al die menschen , die zullen zeggen : "" Dat had ik van jou niet gedacht , "" als je nog eens probeert te leven en die zullen zeggen : "" Dat had ik altijd wel gedacht , dat kon niet goed gaan , "" als je later in 't werkhuis moet .
 De God , die niet hebben kan , dat je 's Zaterdagsmiddags vrij bent , de God van meneer Volmer , hoogleeraar in 't boekhouden en de bedrijfsleer , die vindt , dat je veel te veel naar de lucht kijkt .
 De God van allen die geen andere keus hebben dan werken of vervelen .
 De God van Nederland , van heel Nederland , van Surhuisterveen en Spekholzerheide , donateur van den Bond van hoofden van groote gezinnen en van de Vereeniging tot opheffing van gevallen vrouwen .
 Dat noemen ze vallen .
 Ik ben ook gevallen . """	den_duivel	m	DICHTERTJE	m	implicit	950	0	251
7	s15	""" De beeldspraak is inderdaad gebrekkig """	DICHTERTJE	m	den_duivel	m	implicit	1202	0	6
8	s17	""" Nu vallen """	DICHTERTJE	m		none	none	1271	0	3
9	s18	""" Mon âme prend son élan vers l'infini , """	den_duivel	m	DICHTERTJE	m	implicit	1280	0	9
