	ids	quote	speaker	speaker_gender	addressee	addressee_gender	addresseetype	ttokenno	begin	end
0	s1	""" Ja , ja , hoe was het ook weer ? """	haar_man	m		none	none	306	0	11
1	s3	""" Ja , hoe was het toch ?
 Juist !
 Alabin gaf een diner te Darmstadt , neen ! niet te Darmstadt ....
 Het was iets Amerikaansch .
 Ja , maar dan was Darmstadt in Amerika .
 Ja , Alabin gaf een diner op glazen tafels , en die tafels zongen : Il mio tesoro ....
 Neen , niet il mio tesoro ... iets veel mooiers ....
 En daar waren kleine kristallen flesschen , en daar waren vrouwen .... ""
"	haar_man	m		none	none	326	0	79
2	s4	""" Ja , het was heerlijk , heerlijk mooi !
 O ! daar was nog zooveel meer schoons , - men kan zich dat wakend in het geheel niet meer voorstellen - dat is onmogelijk ! ""
"	haar_man	m		none	none	419	0	36
3	s5	""" Ach , ach ! """	haar_man	m		none	none	559	0	5
4	s7	""" Neen , zij zal het mij niet vergeven , zij kan niet vergeven !
 En het ergste is , dat alles mijn schuld is !
 't Is geheel en al mijn schuld en toch ben ik de schuldige niet .
 Dat is het tragische er van ! """	haar_man	m		none	none	601	0	48
5	s8	""" Ach , ach ! """	haar_man	m		none	none	653	0	5
6	s9	""" Wat is dit ?
 Wat is dit ? """	De_huisvrouw	f		none	none	790	0	9
7	s11	""" een reflex der hersenwerkzaamheid , """	haar_man	m		none	none	927	57	63
8	s12	""" Dat verwenschte lachen is de schuld van alles ! """	haar_man	m		none	none	1020	0	10
9	s13	""" Maar wat te doen ? wat nu te doen ? """	haar_man	m		none	none	1035	0	11
10	s14	""" Als men niet gepakt wordt , is men geen dief , """	haar_man	m		none	none	1147	0	12
11	s15	""" O vreeseljjk , vreeselijk ! """	haar_man	m		none	none	1289	0	6
12	s17	""" En hoe goed hadden wij het tot hiertoe !
 Hoe goed hebben wij met elkander geleefd !
 Zij was tevreden en gelukkig met de kinderen , ik legde haar niets in den weg en liet haar met de kinderen en de huishouding haar eigen gang gaan .
 Dit is waar : het was niet goed , dat Jeanne bij ons gouvernante was , dat deugde niets !
 Een minnarij met een gouvernante is iets triviaals !
 Maar welk een gouvernante was zij ook ! ""
"	haar_man	m		none	none	1305	0	85
13	s19	""" En zoo lang ze bij ons in huis was , heb ik mij toch ook niets veroorloofd !
 Het ergste is echter , dat zij al ....
 Ach , het moest alles zoo komen !
 Ach , ach , wat nu gedaan , wat nu toch gedaan ? ""
"	haar_man	m		none	none	1410	0	49
14	s20	""" Verder zal het wel terecht komen , """	haar_man	m		none	none	1508	0	8
15	s22	""" Zijn er ook acten van het gerecht gekomen ? """	haar_man	m	zijn_oude_kamerdienaar_Matjeff	m	implicit	1617	0	10
16	s24	""" Daar op tafel , """	zijn_oude_kamerdienaar_Matjeff	m	haar_man	m	implicit	1642	0	5
17	s26	""" Er was iemand van den stalhouder hier . ""
"	zijn_oude_kamerdienaar_Matjeff	m	haar_man	m	implicit	1674	12	21
18	s27	""" Waarom zeg je mij dat ?
 Weet je dan niet ? """	haar_man	m		none	none	1723	6	18
19	s28	""" Ik zeide hem , dat hij den volgenden Zondag weerkomen en voor dien tijd noch u , noch zich zelf onnoodigen last moest aandoen . ""
"	zijn_oude_kamerdienaar_Matjeff	m	haar_man	m	implicit	1766	0	26
20	s29	""" Matjeff ! mijn zuster Anna Arkadiewna komt morgen , """	haar_man	m	zijn_oude_kamerdienaar_Matjeff	m	explicit	1840	0	10
21	s31	""" Goddank ! """	zijn_oude_kamerdienaar_Matjeff	m	haar_man	m	implicit	1878	0	3
22	s32	""" Alleen of met mijnheer haar echtgenoot ? ""
"	zijn_oude_kamerdienaar_Matjeff	m	haar_man	m	implicit	1927	0	8
23	s33	""" Alleen dus , """	zijn_oude_kamerdienaar_Matjeff	m	haar_man	m	implicit	1969	0	4
24	s35	""" Dan moet het boven zeker voor haar ingericht worden ? ""
"	zijn_oude_kamerdienaar_Matjeff	m	haar_man	m	implicit	1978	9	20
25	s36	""" Meld het aan Darja Alexandrowna en doe zooals zij beveelt . ""
"	haar_man	m	zijn_oude_kamerdienaar_Matjeff	m	implicit	1990	0	12
26	s37	""" Darja Alexandrowna ? """	zijn_oude_kamerdienaar_Matjeff	m	haar_man	m	implicit	2003	0	4
