	ids	quote	speaker	speaker_gender	addressee	addressee_gender	addresseetype	ttokenno	begin	end
0	s239	""" De nieuwe bediende , """	Jamers_Forster_de_ontslagen_knecht	m	Phileas_Fogg	m	implicit	1464	0	5
1	s3	""" Gij zijt een Franschman en heet John ? """	Phileas_Fogg	m	De_nieuwe_bediende	m	implicit	1483	0	9
2	s5	""" Jean , met uw welnemen , """	De_nieuwe_bediende	m	Phileas_Fogg	m	implicit	1497	0	7
3	s7	""" Jean Passepartout , een naam , dien ik behouden heb en dien ik verwierf door mijn talent , om mij in alle omstandigheden te schikken .
 Ik geloof dat ik een eerlijke jongen ben , mijnheer , maar ik moet oprecht zijn en u zeggen , dat ik van alles bij de hand heb gehad .
 Ik ben reizend zanger geweest , oppasser in een paardenspel , ik heb op het trapèze gewerkt als Léotard en koord gedanst als Blondin ; toen ben ik onderwijzer in de gymnastiek geworden , ten einde meer partij van mijne talenten te trekken en eindelijk was ik sergeant bij de pompiers te Parijs .
 Ik heb onder mijne papieren hoogst belangrijke brand-rapporten .
 Maar sedert vijf jaren heb ik Frankrijk verlaten en daar ik het huiselijk leven genieten wilde , ben ik kamerdienaar in Engeland geworden .
 Thans ben ik zonder betrekking en daar ik vernomen heb , dat de heer Phileas Fogg de meest stipte en minst onbestendige man uit het vereenigd koninkrijk is , ben ik zoo vrij mij bij u aan te bieden , in de hoop hier rustig te leven en zelfs mijn naam van Passepartout te vergeten . ""
"	De_nieuwe_bediende	m	Phileas_Fogg	m	implicit	1509	12	212
4	s8	""" Passepartout bevalt mij , """	Phileas_Fogg	m	De_nieuwe_bediende	m	explicit	1710	0	5
5	s10	""" Men heeft u bij mij aanbevolen .
 Ik heb goede berichten omtrent u .
 Kent gij mijne voorwaarden ? ""
"	Phileas_Fogg	m	De_nieuwe_bediende	m	implicit	1720	0	20
6	s11	""" Ja , mijnheer . ""
"	De_nieuwe_bediende	m	Phileas_Fogg	m	implicit	1741	0	5
7	s12	""" Goed .
 Hoe laat hebt gij 't ? ""
"	Phileas_Fogg	m	De_nieuwe_bediende	m	implicit	1747	0	9
8	s13	""" Twee en twintig minuten over elven , """	De_nieuwe_bediende	m	Phileas_Fogg	m	implicit	1757	0	8
9	s15	""" Gij gaat achter , """	Phileas_Fogg	m	De_nieuwe_bediende	m	implicit	1783	0	5
